Player Name,Total Value,Total Salary,FFS Valuation,FG Link,Position,W,W Salary,SO,SO Salary,ERA,ERA Salary,WHIP,WHIP Salary,SV,SV Salary,HLD,HLD Salary,Pitching Modifier,R,R Salary,HR,HR Salary,RBI,RBI Salary,SB,SB Salary,AVG,AVG Salary,OPS,OPS Salary
Trea Turner ,14.5,11.6,43.5,https://www.fangraphs.com/players/trea-turner/16252/stats?position=SS,,,,,,,,,,,,,,,107,2.5,28,2,77,1.5,32,3,0.328,3,0.911,2.5
Freddie Freeman ,13.5,10.8,40.5,https://www.fangraphs.com/players/freddie-freeman/5361/stats?position=1B,,,,,,,,,,,,,,,120,3,31,2.5,83,2,8,1,0.3,2.5,0.896,2.5
Robbie Ray ,13.15035,10.52,39.45105,https://www.fangraphs.com/players/robbie-ray/11486/stats?position=P,SP,13,3,248,4.35015,2.84,2.9001,1.05,2.9001,0,0,0,0,0.9667,,,,,,,,,,,,
Julio Urías ,12.85515,10.28,38.56545,https://www.fangraphs.com/players/julio-urias/14765/stats?position=P,SP,20,4.5,195,2.78505,2.96,2.78505,1.02,2.78505,0,0,0,0,0.92835,,,,,,,,,,,,
Brandon Crawford ,11.5,9.2,34.5,https://www.fangraphs.com/players/brandon-crawford/5343/stats?position=SS,,,,,,,,,,,,,,,79,1.5,24,1.5,90,2.5,11,1,0.298,2.5,0.895,2.5
Adam Wainwright ,11.463975,9.17,34.391925,https://www.fangraphs.com/players/adam-wainwright/2233/stats?position=P,SP,17,4.5,174,2.321325,3.06,2.321325,1.06,2.321325,0,0,0,0,1.0317,,,,,,,,,,,,
Charlie Morton ,11.4088875,9.13,34.2266625,https://www.fangraphs.com/players/charlie-morton/4676/stats?position=P,SP,14,3.75,216,3.4813125,3.35,1.392525,1.05,2.78505,0,0,0,0,0.92835,,,,,,,,,,,,
J.D. Martinez ,11,8.8,33,https://www.fangraphs.com/players/jd-martinez/6184/stats?position=DH/OF,,,,,,,,,,,,,,,92,2.5,28,2,99,2.5,0,0,0.286,2,0.867,2
Salvador Perez ,11,8.8,33,https://www.fangraphs.com/players/salvador-perez/7304/stats?position=C,,,,,,,,,,,,,,,88,2,48,3,121,3,1,0,0.273,1,0.859,2
Jorge Polanco ,11,8.8,33,https://www.fangraphs.com/players/jorge-polanco/13152/stats?position=SS,,,,,,,,,,,,,,,97,2.5,33,2.5,98,2.5,11,1,0.269,1,0.826,1.5
