Team1Picks1,Team1Picks2,Team1Picks3,Team1Picks4,Team1Picks5,Team1Picks6,Team1Money,Team2Picks1,Team2Picks2,Team2Picks3,Team2Picks4,Team2Picks5,Team2Picks6,Team2Money
25,,,,,,,45,,,,,,5
86,143,172,,,,,,,,,,,5.98
17,,,,,,,25,54,1y2,,,,
26,,,,,,,1y2,1y3,2y1,,,,
33,,,,,,,63,118,145,,,,
52,,,,,,,101,,,,,,4
41,,,,,,,50,1y3,,,,,
53,,,,,,,134,,,,,,4.5
55,,,,,,,,,,,,,6
112,,,,,,,1y4,1y6,,,,,1
66,97,,,,,,56,,,,,,
59,,,,,,,103,145,179,,,,
65,,,,,,,70,155,,,,,
2y5,2y6,,,,,,,,,,,,3
2y6,,,,,,,,,,,,,1.33
2y6,2y6,,,,,,,,,,,,2.5
76,,,,,,,95,1y5,,,,,1.5
103,,,,,,,1y4,2y4,,,,,
141,,,,,,,172,2y4,,,,,
114,,,,,,,1y6,,,,,,3
142,145,,,,,,1y3,,,,,,
127,129,,,,,,145,154,1y3,,,,
140,,,,,,,161,1y4,,,,,
168,,,,,,,1y5,,,,,,
172,,,,,,,,,,,,,3
2y5,,,,,,,,,,,,,2.43
1y3,1y5,2y2,,,,,,,,,,,10
2y6,2y6,,,,,,,,,,,,3
1y5,1y6,,,,,,,,,,,,5
2y4,,,,,,,,,,,,,2.9
2y3,2y5,,,,,,,,,,,,5.5
1y5,,,,,,,,,,,,,2.5
152,2y6,,,,,,,,,,,,4
3,,,,,,,34,58,73,114,124,,
16,,,,,,,21,,,,,,4
18,,,,,,,31,101,169,,,,
25,,,,,,,53,128,169,,,,
14,,,,,,,39,55,120,,,,
24,,,,,,,45,75,160,,,,
41,,,,,,,,,,,,,13.1
28,,,,,,,191,1y2,2y2,,,,
23,,,,,,,86,89,1y2,,,,
32,,,,,,,76,139,144,182,192,180,
33,,,,,,,,,,,,,18
34,,,,,,,63,90,186,,,,
36,,,,,,,1y1a,2y3a,128,,,,
38,,,,,,,144,1y1a,1y3,,,,
40,,,,,,,74,94,,,,,
56,,,,,,,85,147,148,,,,
64,,,,,,,114,127,191,1y4,,,
65,,,,,,,128,139,1y3,1y4,,,
1y2,1y3a,1y4,1y6,,,,73,122,150,,,,
72,,,,,,,1y3,2y4,2y6,,,,
85,90,,,,,,99,102,2y5,,,,
94,,,,,,,118,164,,,,,
97,,,,,,,121,162,,,,,
99,,,,,,,129,1y5,,,,,
108,,,,,,,,,,,,,3
132,,,,,,,1y3,,,,,,
,,,,,,4.05,2y5,2y5,,,,,
165,,,,,,,,,,,,,3.5
161,,,,,,,2y3a,2y6,2y6,,,,
2y4,,,,,,,,,,,,,3
177,,,,,,,,,,,,,4
191,,,,,,,1y4,,,,,,
1y3,,,,,,,,,,,,,6.1
1y3a,,,,,,,,,,,,,4.7
1y3,,,,,,,,,,,,,4.8
1y4,2y4,,,,,,,,,,,,8.5
1y4,,,,,,,,,,,,,4.2
1y6,,,,,,,,,,,,,2
1y1,,,,,,,2y1,2y4,1y5,1y5,,,
1y1,,,,,,,1y1,1y3,1y3a,1y5,,,
2y4,,,,,,,,,,,,,3
1y5,1y6,,,,,,,,,,,,4.5
