Unique ID,Sheet Name,Fangraphs Name,Fangraphs Link,DOB,Owner
mill11301991,Alec Mills,Alec Mills ,https://www.fangraphs.com/players/alec-mills/13834/stats?position=P,11/30/1991,HOU
lamb4181997,Peter Lambert,Peter Lambert ,https://www.fangraphs.com/players/peter-lambert/17969/stats?position=P,4/18/1997,HOU
hous221993,Adrian Houser,Adrian Houser ,https://www.fangraphs.com/players/adrian-houser/12718/stats?position=P,2/2/1993,HOU
quan2101995,Cal Quantrill,Cal Quantrill ,https://www.fangraphs.com/players/cal-quantrill/19312/stats?position=P,2/10/1995,HOU
jans4151995,Dan Jansen,Danny Jansen ,https://www.fangraphs.com/players/danny-jansen/16535/stats?position=C,4/15/1995,HOU
mill6131987,Justin Miller,Justin Miller ,https://www.fangraphs.com/players/justin-miller/8580/stats?position=P,6/13/1987,HOU
reng2261997,Luis Rengifo,Luis Rengifo ,https://www.fangraphs.com/players/luis-rengifo/19858/stats?position=2B,2/26/1997,HOU
prui8311989,Austin Pruitt,Austin Pruitt ,https://www.fangraphs.com/players/austin-pruitt/15290/stats?position=P,8/31/1989,HOU
fedd2251993,Erick Fedde,Erick Fedde ,https://www.fangraphs.com/players/erick-fedde/17425/stats?position=P,2/25/1993,HOU
enge1291991,Adam Engel,Adam Engel ,https://www.fangraphs.com/players/adam-engel/15082/stats?position=OF,12/9/1991,HOU
pind3291992,Chad Pinder,Chad Pinder ,https://www.fangraphs.com/players/chad-pinder/15191/stats?position=OF,3/29/1992,HOU
barn4141990,Jacob Barnes,Jacob Barnes ,https://www.fangraphs.com/players/jacob-barnes/12323/stats?position=P,4/14/1990,HOU
walk3281991,Christian Walker,Christian Walker ,https://www.fangraphs.com/players/christian-walker/13419/stats?position=1B,3/28/1991,HOU
dozi8221991,Hunter Dozier,Hunter Dozier ,https://www.fangraphs.com/players/hunter-dozier/15117/stats?position=3B/OF,8/22/1991,HOU
wach711991,Michael Wacha,Michael Wacha ,https://www.fangraphs.com/players/michael-wacha/14078/stats?position=P,7/1/1991,HOU
tsut11261991,Yoshitomo Tsutsugo,Yoshi Tsutsugo ,https://www.fangraphs.com/players/yoshi-tsutsugo/27459/stats?position=1B/DH/OF,11/26/1991,HOU
canh2151989,Mark Canha,Mark Canha ,https://www.fangraphs.com/players/mark-canha/11445/stats?position=OF,2/15/1989,HOU
