Unique ID,Sheet Name,Fangraphs Name,Fangraphs Link,DOB,Owner
garc1301987,Luis A. Garcia,Luis García ,https://www.fangraphs.com/players/luis-garcia/6984/stats?position=P,1/30/1987,
goss1031988,Phil Gosselin,Phil Gosselin ,https://www.fangraphs.com/players/phil-gosselin/10953/stats?position=2B,10/3/1988,
buch2131987,Ryan Buchter,Ryan Buchter ,https://www.fangraphs.com/players/ryan-buchter/9456/stats?position=P,2/13/1987,
ryan9251991,Kyle Ryan,Kyle Ryan ,https://www.fangraphs.com/players/kyle-ryan/11753/stats?position=P,9/25/1991,
tayl3261991,Michael A Taylor,Michael A. Taylor ,https://www.fangraphs.com/players/michael-a-taylor/11489/stats?position=OF,3/26/1991,
chac171988,Jhoulys Chacin,Jhoulys Chacín ,https://www.fangraphs.com/players/jhoulys-chacin/2608/stats?position=P,1/7/1988,
mald8161986,Martin Maldonado,Martín Maldonado ,https://www.fangraphs.com/players/martin-maldonado/6887/stats?position=C,8/16/1986,
roar1051986,Tanner Roark,Tanner Roark ,https://www.fangraphs.com/players/tanner-roark/8753/stats?position=P,10/5/1986,
igle151990,Jose Iglesias,José Iglesias ,https://www.fangraphs.com/players/jose-iglesias/10231/stats?position=SS,1/5/1990,
gall1261992,Cam Gallagher,Cam Gallagher ,https://www.fangraphs.com/players/cam-gallagher/12981/stats?position=C,12/6/1992,CHW
spar5111992,Glenn Sparkman,Glenn Sparkman ,https://www.fangraphs.com/players/glenn-sparkman/15200/stats?position=P,5/11/1992,CHW
free841987,Mike Freeman,Mike Freeman ,https://www.fangraphs.com/players/mike-freeman/11241/stats?position=2B,8/4/1987,CHW
deme9301994,Travis Demerritte,Travis Demeritte ,https://www.fangraphs.com/players/travis-demeritte/15958/stats?position=OF,9/30/1994,CHW
vizc11131990,Arodys Vizcaino,Arodys Vizcaíno ,https://www.fangraphs.com/players/arodys-vizcaino/5498/stats?position=P,11/13/1990,CHW
bidd10221991,Jesse Biddle,Jesse Biddle ,https://www.fangraphs.com/players/jesse-biddle/11437/stats?position=P,10/22/1991,CHW
park6191985,Blake Parker,Blake Parker ,https://www.fangraphs.com/players/blake-parker/5224/stats?position=P,6/19/1985,CHW
roma10121993,Sal Romano,Sal Romano ,https://www.fangraphs.com/players/sal-romano/13690/stats?position=P,10/12/1993,CHW
carp11261985,Matt Carpenter,Matt Carpenter ,https://www.fangraphs.com/players/matt-carpenter/8090/stats?position=1B/3B,11/26/1985,CHW
mayb441987,Cameron Maybin,Cameron Maybin ,https://www.fangraphs.com/players/cameron-maybin/5223/stats?position=OF,4/4/1987,CHW
gros9161989,Robbie Grossman,Robbie Grossman ,https://www.fangraphs.com/players/robbie-grossman/5254/stats?position=OF,9/16/1989,CHW
jr.4191990,Jackie Bradley Jr.,Jackie Bradley Jr. ,https://www.fangraphs.com/players/jackie-bradley-jr/12984/stats?position=OF,4/19/1990,CHW
lest171984,Jon Lester,Jon Lester ,https://www.fangraphs.com/players/jon-lester/4930/stats?position=P,1/7/1984,CHW
keuc111988,Dallas Keuchel,Dallas Keuchel ,https://www.fangraphs.com/players/dallas-keuchel/9434/stats?position=P,1/1/1988,CHW
ozun11121990,Marcell Ozuna,Marcell Ozuna ,https://www.fangraphs.com/players/marcell-ozuna/10324/stats?position=OF,11/12/1990,CHW
hern3111997,Carlos Hernandez,Carlos Hernández ,https://www.fangraphs.com/players/carlos-hernandez/22713/stats?position=P,3/11/1997,CHW
arro5301995,Christian Arroyo,Christian Arroyo ,https://www.fangraphs.com/players/christian-arroyo/16434/stats?position=2B/3B,5/30/1995,CHW
dunn12201994,Dane Dunning,Dane Dunning ,https://www.fangraphs.com/players/dane-dunning/19409/stats?position=P,12/20/1994,CHW
dunn9221995,Justin Dunn,Justin Dunn ,https://www.fangraphs.com/players/justin-dunn/19268/stats?position=P,9/22/1995,CHW
ward12141993,Taylor Ward,Taylor Ward ,https://www.fangraphs.com/players/taylor-ward/17548/stats?position=3B/OF,12/14/1993,CHW
mcke821997,Triston McKenzie,Triston McKenzie ,https://www.fangraphs.com/players/triston-mckenzie/18000/stats?position=P,8/2/1997,CHW
moro5131993,Max Moroff,Max Moroff ,https://www.fangraphs.com/players/max-moroff/14556/stats?position=2B/SS,5/13/1993,CHW
ii2102002,Alex Santos II,Alex Santos II ,https://www.fangraphs.com/players/alex-santos/sa3014684/stats?position=P,2/10/2002,CHW
sanc1201997,Ali Sanchez,Ali Sánchez ,https://www.fangraphs.com/players/ali-sanchez/18551/stats?position=C,1/20/1997,CHW
mill561994,Anderson Miller,Anderson Miller ,https://www.fangraphs.com/players/anderson-miller/sa857824/stats?position=OF,5/6/1994,CHW
bech4181996,Andrew Bechtold,Andrew Bechtold ,https://www.fangraphs.com/players/andrew-bechtold/sa829787/stats?position=3B,4/18/1996,CHW
dalq11132000,Andrew Dalquist,Andrew Dalquist ,https://www.fangraphs.com/players/andrew-dalquist/sa3011841/stats?position=P,11/13/2000,CHW
lacy621999,Asa Lacy,Asa Lacy ,https://www.fangraphs.com/players/asa-lacy/sa3014423/stats?position=P,6/2/1999,CHW
bowd10211994,Ben Bowden,Ben Bowden ,https://www.fangraphs.com/players/ben-bowden/20198/stats?position=P,10/21/1994,CHW
jord12192002,Blaze Jordan,Blaze Jordan ,https://www.fangraphs.com/players/blaze-jordan/sa3014537/stats?position=3B,12/19/2002,CHW
bona792002,Brainer Bonaci,Brainer Bonaci ,https://www.fangraphs.com/players/brainer-bonaci/sa3008836/stats?position=SS,7/9/2002,CHW
cws952000,Brayan Perez CWS,Brayan Perez ,https://www.fangraphs.com/players/brayan-perez/sa3006100/stats?position=P,9/5/2000,CHW
fish7262000,Braydon Fisher,Braydon Fisher ,https://www.fangraphs.com/players/braydon-fisher/sa3007929/stats?position=P,7/26/2000,CHW
cws6112003,Braylin Minier CWS,Braylin Minier ,https://www.fangraphs.com/players/braylin-minier/sa3015177/stats?position=SS,6/11/2003,CHW
euse10211996,Breiling Eusebio,Breiling Eusebio ,https://www.fangraphs.com/players/breiling-eusebio/sa828552/stats?position=P,10/21/1996,CHW
hone3311995,Brent Honeywell,Brent Honeywell Jr. ,https://www.fangraphs.com/players/brent-honeywell/16466/stats?position=P,3/31/1995,CHW
baty11131999,Brett Baty,Brett Baty ,https://www.fangraphs.com/players/brett-baty/sa3010869/stats?position=3B,11/13/1999,CHW
cort6301997,Carlos Cortes,Carlos Cortes ,https://www.fangraphs.com/players/carlos-cortes/sa3008079/stats?position=2B/OF,6/30/1997,CHW
baum1312002,Carter Baumler,Carter Baumler ,https://www.fangraphs.com/players/carter-baumler/sa3014480/stats?position=DH,1/31/2002,CHW
mart471999,Casey Martin,Casey Martin ,https://www.fangraphs.com/players/noah-martin/sa3014524/stats?position=2B/SS,4/7/1999,CHW
koss1271998,Christian Koss,Christian Koss ,https://www.fangraphs.com/players/christian-koss/sa3011227/stats?position=SS,1/27/1998,CHW
torr261998,Christopher Torres,Chris Torres ,https://www.fangraphs.com/players/christopher-torres/sa872538/stats?position=SS,2/6/1998,CHW
bolt6191998,Cody Bolton,Cody Bolton ,https://www.fangraphs.com/players/carl-bolton/sa3004975/stats?position=P,6/19/1998,CHW
winn11251999,Cole Winn,Cole Winn ,https://www.fangraphs.com/players/cole-winn/sa3008662/stats?position=P,11/25/1999,CHW
thom5291998,Connor Thomas,Connor Thomas ,https://www.fangraphs.com/players/sidney-thomas/sa3010784/stats?position=P,5/29/1998,CHW
cabr951998,Daniel Cabrera,Daniel Cabrera ,https://www.fangraphs.com/players/daniel-cabrera/sa3014452/stats?position=OF,9/5/1998,CHW
fult10162001,Daxton Fulton,Dax Fulton ,https://www.fangraphs.com/players/daxton-fulton/sa3014535/stats?position=P,10/16/2001,CHW
cart972001,Diego Cartaya,Diego Cartaya ,https://www.fangraphs.com/players/diego-cartaya/sa3008742/stats?position=C,9/7/2001,CHW
rosa6162001,Dilan Rosario,Dilan Rosario ,https://www.fangraphs.com/players/dilan-rosario/sa3010165/stats?position=2B/SS,6/16/2001,CHW
hall9191998,DL Hall,D.L. Hall ,https://www.fangraphs.com/players/dayton-hall/sa3005282/stats?position=P,9/19/1998,CHW
romo8292001,Drew Romo,Drew Romo ,https://www.fangraphs.com/players/drew-romo/sa3014522/stats?position=C,8/29/2001,CHW
