Unique ID,Sheet Name,Fangraphs Name,Fangraphs Link,DOB,Owner
moli7131982,Yadier Molina,Yadier Molina ,https://www.fangraphs.com/players/yadier-molina/7007/stats?position=C,7/13/1982,
esco151989,Eduardo Escobar,Eduardo Escobar ,https://www.fangraphs.com/players/eduardo-escobar/6153/stats?position=3B/SS,1/5/1989,
hosm10241989,Eric Hosmer,Eric Hosmer ,https://www.fangraphs.com/players/eric-hosmer/3516/stats?position=1B,10/24/1989,
germ841992,Domingo German,Domingo Germán ,https://www.fangraphs.com/players/domingo-german/17149/stats?position=P,8/4/1992,CHC
dubo7191994,Mauricio Dubon,Mauricio Dubón ,https://www.fangraphs.com/players/mauricio-dubon/16530/stats?position=2B/OF,7/19/1994,CHC
civa6121995,Aaron Civale,Aaron Civale ,https://www.fangraphs.com/players/aaron-civale/19479/stats?position=P,6/12/1995,CHC
diaz5271996,Isan Diaz,Isan Díaz ,https://www.fangraphs.com/players/isan-diaz/17922/stats?position=2B/3B,5/27/1996,CHC
gris1111996,Trent Grisham,Trent Grisham ,https://www.fangraphs.com/players/trent-grisham/18564/stats?position=OF,11/1/1996,CHC
andu321995,Miguel Andujar,Miguel Andújar ,https://www.fangraphs.com/players/miguel-andujar/15878/stats?position=3B,3/2/1995,CHC
barn12281989,Austin Barnes,Austin Barnes ,https://www.fangraphs.com/players/austin-barnes/12158/stats?position=C,12/28/1989,CHC
hedg8181992,Austin Hedges,Austin Hedges ,https://www.fangraphs.com/players/austin-hedges/12976/stats?position=C,8/18/1992,CHC
cama12131993,Johan Camargo,Johan Camargo ,https://www.fangraphs.com/players/johan-camargo/14950/stats?position=3B,12/13/1993,CHC
barr5231990,Kyle Barraclough,Kyle Barraclough ,https://www.fangraphs.com/players/kyle-barraclough/13713/stats?position=P,5/23/1990,CHC
bowm5311991,Matthew Bowman,Matt Bowman ,https://www.fangraphs.com/players/matt-bowman/13528/stats?position=P,5/31/1991,CHC
mont10171990,Rafael Montero,Rafael Montero ,https://www.fangraphs.com/players/rafael-montero/12760/stats?position=P,10/17/1990,CHC
reyn1271995,Bryan Reynolds,Bryan Reynolds ,https://www.fangraphs.com/players/bryan-reynolds/19326/stats?position=OF,1/27/1995,CHC
padd181996,Chris Paddack,Chris Paddack ,https://www.fangraphs.com/players/chris-paddack/20099/stats?position=P,1/8/1996,CHC
paga571991,Emilio Pagan,Emilio Pagán ,https://www.fangraphs.com/players/emilio-pagan/14771/stats?position=P,5/7/1991,CHC
flor861991,Wilmer Flores,Wilmer Flores ,https://www.fangraphs.com/players/wilmer-flores/5827/stats?position=1B/2B/3B,8/6/1991,CHC
hick1021989,Aaron Hicks,Aaron Hicks ,https://www.fangraphs.com/players/aaron-hicks/5297/stats?position=OF,10/2/1989,CHC
kimb5281988,Craig Kimbrel,Craig Kimbrel ,https://www.fangraphs.com/players/craig-kimbrel/6655/stats?position=P,5/28/1988,CHC
carr3211987,Carlos Carrasco,Carlos Carrasco ,https://www.fangraphs.com/players/carlos-carrasco/6632/stats?position=P,3/21/1987,CHC
boga1011992,Xander Bogaerts,Xander Bogaerts ,https://www.fangraphs.com/players/xander-bogaerts/12161/stats?position=SS,10/1/1992,CHC
smit261996,Pavin Smith,Pavin Smith ,https://www.fangraphs.com/players/pavin-smith/19892/stats?position=1B/OF,2/6/1996,CHC
guti10311999,Abrahan Gutierrez,Abrahan Gutierrez ,https://www.fangraphs.com/players/abrahan-gutierrez/sa3004263/stats?position=C,10/31/1999,CHC
klof8252000,Adam Kloffenstein,Adam Kloffenstein ,https://www.fangraphs.com/players/adam-kloffenstein/sa3008578/stats?position=P,8/25/2000,CHC
scot10101995,Adam Scott,Adam Scott ,https://www.fangraphs.com/players/adam-scott/sa3006826/stats?position=P,10/10/1995,CHC
burl11251998,Alec Burleson,Alec Burleson ,https://www.fangraphs.com/players/alec-burleson/sa3014466/stats?position=OF,11/25/1998,CHC
mars5141998,Alec Marsh,Alec Marsh ,https://www.fangraphs.com/players/alec-marsh/sa1159950/stats?position=P,5/14/1998,CHC
thom4282000,Alek Thomas,Alek Thomas ,https://www.fangraphs.com/players/alek-thomas/sa3006892/stats?position=OF,4/28/2000,CHC
torr12121997,Alexis Torres,Alexis Torres ,https://www.fangraphs.com/players/alexis-torres/sa918010/stats?position=2B,12/12/1997,CHC
seij10101998,Alvaro Seijas,Alvaro Seijas ,https://www.fangraphs.com/players/alvaro-seijas/sa861440/stats?position=P,10/10/1998,CHC
chc1212003,Ariel Almonte CHC,Ariel Almonte ,https://www.fangraphs.com/players/ariel-almonte/sa3015708/stats?position=OF,12/1/2003,CHC
chc3231993,Art Warren CHC,Art Warren ,https://www.fangraphs.com/players/art-warren/18251/stats?position=P,3/23/1993,CHC
bray4281994,Ben Braymer,Ben Braymer ,https://www.fangraphs.com/players/ben-braymer/20175/stats?position=P,4/28/1994,CHC
sous461995,Bennett Sousa,Bennett Sousa ,https://www.fangraphs.com/players/john-sousa/sa913181/stats?position=P,4/6/1995,CHC
knig6281996,Blaine Knight,Blaine Knight ,https://www.fangraphs.com/players/blaine-knight/sa3008532/stats?position=P,6/28/1996,CHC
will421998,Brandon Williamson,Brandon Williamson ,https://www.fangraphs.com/players/brandon-williamson/sa3011494/stats?position=P,4/2/1998,CHC
buel682002,Brayan Buelvas,Brayan Buelvas ,https://www.fangraphs.com/players/brayan-buelvas/sa3008868/stats?position=OF,6/8/2002,CHC
geus1141997,Brett de Geus,Brett de Geus ,https://www.fangraphs.com/players/brett-de-geus/23592/stats?position=P,11/4/1997,CHC
netz641996,Brett Netzer,Brett Netzer ,https://www.fangraphs.com/players/brett-netzer/sa3004804/stats?position=2B,6/4/1996,CHC
rinc10141997,Carlos Rincon,Carlos Rincon ,https://www.fangraphs.com/players/carlos-rincon/sa917319/stats?position=OF,10/14/1997,CHC
schm311999,Casey Schmitt,Casey Schmitt ,https://www.fangraphs.com/players/casey-schmitt/sa3014484/stats?position=3B,3/1/1999,CHC
trom3211995,Chadwick Tromp,Chadwick Tromp ,https://www.fangraphs.com/players/chadwick-tromp/16953/stats?position=C,3/21/1995,CHC
mokm2112001,Chris Mokma,Chris Mokma ,https://www.fangraphs.com/players/christopher-mokma/sa3011750/stats?position=P,2/11/2001,CHC
hern12132003,Christian Hernandez,Cristian Hernandez ,https://www.fangraphs.com/players/cristian-hernandez/sa3015696/stats?position=SS,12/13/2003,CHC
mayo12102001,Coby Mayo,Coby Mayo ,https://www.fangraphs.com/players/coby-mayo/sa3014479/stats?position=3B,12/10/2001,CHC
brog1291995,Connor Brogdon,Connor Brogdon ,https://www.fangraphs.com/players/connor-brogdon/21205/stats?position=P,1/29/1995,CHC
