Unique ID,Sheet Name,Fangraphs Name,Fangraphs Link,DOB,Owner
nels651989,Jimmy Nelson,Jimmy Nelson ,https://www.fangraphs.com/players/jimmy-nelson/10547/stats?position=P,6/5/1989,
chir651984,Robinson Chirinos,Robinson Chirinos ,https://www.fangraphs.com/players/robinson-chirinos/3142/stats?position=C,6/5/1984,
esco12161986,Alcides Escobar,Alcides Escobar ,https://www.fangraphs.com/players/alcides-escobar/6310/stats?position=SS,12/16/1986,
cont5131992,Willson Contreras,Willson Contreras ,https://www.fangraphs.com/players/willson-contreras/11609/stats?position=C,5/13/1992,
may9231989,Trevor May,Trevor May ,https://www.fangraphs.com/players/trevor-may/6398/stats?position=P,9/23/1989,
wain8301981,Adam Wainwright,Adam Wainwright ,https://www.fangraphs.com/players/adam-wainwright/2233/stats?position=P,8/30/1981,
ray1011991,Robbie Ray,Robbie Ray ,https://www.fangraphs.com/players/robbie-ray/11486/stats?position=P,10/1/1991,
mort11121983,Charlie Morton,Charlie Morton ,https://www.fangraphs.com/players/charlie-morton/4676/stats?position=P,11/12/1983,
poch1171994,Colin Poche,Colin Poche ,https://www.fangraphs.com/players/colin-poche/19403/stats?position=P,1/17/1994,ATL
mull1011994,Cedric Mullins,Cedric Mullins ,https://www.fangraphs.com/players/cedric-mullins-ii/17929/stats?position=OF,10/1/1994,ATL
tepe1131987,Ryan Tepera,Ryan Tepera ,https://www.fangraphs.com/players/ryan-tepera/10291/stats?position=P,11/3/1987,ATL
refs3261991,Rob Refsnyder,Rob Refsnyder ,https://www.fangraphs.com/players/rob-refsnyder/13770/stats?position=OF,3/26/1991,ATL
jr.3161999,Vladimir Guerrero Jr.,Vladimir Guerrero Jr. ,https://www.fangraphs.com/players/vladimir-guerrero-jr/19611/stats?position=1B/3B,3/16/1999,ATL
garc1181993,Jarlin Garcia,Jarlín García ,https://www.fangraphs.com/players/jarlin-garcia/18282/stats?position=P,1/18/1993,ATL
lowe761994,Brandon Lowe,Brandon Lowe ,https://www.fangraphs.com/players/brandon-lowe/18882/stats?position=2B,7/6/1994,ATL
garc3181991,Leury Garcia,Leury García ,https://www.fangraphs.com/players/leury-garcia/5913/stats?position=OF,3/18/1991,ATL
diek1211987,Jake Diekman,Jake Diekman ,https://www.fangraphs.com/players/jake-diekman/5003/stats?position=P,1/21/1987,ATL
huds391987,Daniel Hudson,Daniel Hudson ,https://www.fangraphs.com/players/daniel-hudson/7146/stats?position=P,3/9/1987,ATL
monc5271995,Yoan Moncada,Yoán Moncada ,https://www.fangraphs.com/players/yoan-moncada/17232/stats?position=2B/3B,5/27/1995,ATL
bell8141992,Josh Bell,Josh Bell ,https://www.fangraphs.com/players/josh-bell/13145/stats?position=1B,8/14/1992,ATL
cast12121992,Luis Castillo,Luis Castillo ,https://www.fangraphs.com/players/luis-castillo/15689/stats?position=P,12/12/1992,ATL
harp10161992,Bryce Harper,Bryce Harper ,https://www.fangraphs.com/players/bryce-harper/11579/stats?position=OF,10/16/1992,ATL
roma4211993,Jordan Romano,Jordan Romano ,https://www.fangraphs.com/players/jordan-romano/16122/stats?position=P,4/21/1993,ATL
aroz2281995,Randy Arozarena,Randy Arozarena ,https://www.fangraphs.com/players/randy-arozarena/19290/stats?position=OF,2/28/1995,ATL
hill2101990,Tim Hill,Tim Hill ,https://www.fangraphs.com/players/tim-hill/16814/stats?position=P,2/10/1990,ATL
well8261994,Tyler Wells,Tyler Wells ,https://www.fangraphs.com/players/tyler-wells/20000/stats?position=P,8/26/1994,ATL
megi7281995,Tylor Megill,Tylor Megill ,https://www.fangraphs.com/players/tylor-megill/21318/stats?position=P,7/28/1995,ATL
atl1062000,Alberto Rodriguez ATL,Alberto Rodriguez ,https://www.fangraphs.com/players/alberto-rodriguez/sa3005603/stats?position=OF,10/6/2000,ATL
moji822002,Alexander Mojica,Alexander Mojica ,https://www.fangraphs.com/players/alexander-mojica/sa3008889/stats?position=3B,8/2/2002,ATL
alfo7201994,Anthony Alford,Anthony Alford ,https://www.fangraphs.com/players/anthony-alford/14329/stats?position=OF,7/20/1994,ATL
bail9182001,Benyamin Bailey,Benyamin Bailey ,https://www.fangraphs.com/players/benyamin-bailey/sa3009343/stats?position=OF,9/18/2001,ATL
cede141996,Blake Cederlind,Blake Cederlind ,https://www.fangraphs.com/players/blake-cederlind/20344/stats?position=P,1/4/1996,ATL
atl11271998,Bryan Lavastida ATL,Bryan Lavastida ,https://www.fangraphs.com/players/bryan-lavastida/sa3006917/stats?position=C,11/27/1998,ATL
ferg721996,Caleb Ferguson,Caleb Ferguson ,https://www.fangraphs.com/players/caleb-ferguson/19349/stats?position=P,7/2/1996,ATL
samp7231996,Caleb Sampen,Caleb Sampen ,https://www.fangraphs.com/players/caleb-sampen/sa3007965/stats?position=P,7/23/1996,ATL
mach651998,Carlos Machado,Carlos Machado ,https://www.fangraphs.com/players/carlos-machado/sa872756/stats?position=OF,6/5/1998,ATL
thom1081994,Cody Thomas,Cody Thomas ,https://www.fangraphs.com/players/cody-thomas/sa738459/stats?position=OF,10/8/1994,ATL
mead10262000,Curtis Mead,Curtis Mead ,https://www.fangraphs.com/players/curtis-mead/sa3008392/stats?position=3B,10/26/2000,ATL
jone9301994,Damon Jones,Damon Jones ,https://www.fangraphs.com/players/damon-jones/23310/stats?position=P,9/30/1994,ATL
drul582000,Danny Drullard,Danny Drullard ,https://www.fangraphs.com/players/danny-drullard/sa3003317/stats?position=OF,5/8/2000,ATL
sand5161996,Donny Sands,Donny Sands ,https://www.fangraphs.com/players/donny-sands/sa875201/stats?position=C,5/16/1996,ATL
ward11251994,Drew Ward,Drew Ward ,https://www.fangraphs.com/players/drew-ward/sa737690/stats?position=3B,11/25/1994,ATL
nuñe1152001,Edwin Nuñez,Edwin Nunez ,https://www.fangraphs.com/players/edwin-nunez/sa3014813/stats?position=P,11/5/2001,ATL
tati9272001,Elijah Tatis,Elijah Tatis ,https://www.fangraphs.com/players/elijah-tatis/sa3011507/stats?position=2B/SS,9/27/2001,ATL
guer1201999,Gregory Guerrero,Gregory Guerrero ,https://www.fangraphs.com/players/gregory-guerrero/sa917296/stats?position=2B/SS,1/20/1999,ATL
nix191996,Jacob Nix,Jacob Nix ,https://www.fangraphs.com/players/jacob-nix/17775/stats?position=P,1/9/1996,ATL
nott431995,Jacob Nottingham,Jacob Nottingham ,https://www.fangraphs.com/players/jacob-nottingham/16448/stats?position=C,4/3/1995,ATL
,Jagger Haynes,,,,ATL
lope11212000,Jairo Lopez,Jairo Lopez ,https://www.fangraphs.com/players/jairo-lopez/sa3005824/stats?position=P,11/21/2000,ATL
hern131995,Jan Hernandez,Jan Hernandez ,https://www.fangraphs.com/players/jan-hernandez/sa737639/stats?position=3B/OF,1/3/1995,ATL
pala7191996,Jermaine Palacios,Jermaine Palacios ,https://www.fangraphs.com/players/jermaine-palacios/sa828886/stats?position=SS,7/19/1996,ATL
diaz1012002,Jhon Diaz,Jhon Diaz ,https://www.fangraphs.com/players/jhon-diaz/sa3014710/stats?position=OF,10/1/2002,ATL
noel7152001,Jhonkensy Noel,Jhonkensy Noel ,https://www.fangraphs.com/players/jhonkensy-noel/sa3005579/stats?position=1B/3B,7/15/2001,ATL
mati11141995,JJ Matijevic,J.J. Matijevic ,https://www.fangraphs.com/players/joseph-matijevic/sa829488/stats?position=1B/OF,11/14/1995,ATL
kuhn2191995,Joel Kuhnel,Joel Kuhnel ,https://www.fangraphs.com/players/joel-kuhnel/19995/stats?position=P,2/19/1995,ATL
gome12101996,Jose Gomez,Jose Gomez ,https://www.fangraphs.com/players/jose-gomez/sa828331/stats?position=3B/SS,12/10/1996,ATL
odom191992,Joseph Odom,Joseph Odom ,https://www.fangraphs.com/players/joseph-odom/15535/stats?position=C,1/9/1992,ATL
leon9131997,Juan De Leon,Juan De Leon ,https://www.fangraphs.com/players/juan-de-leon/sa872565/stats?position=OF,9/13/1997,ATL
merr10141991,Julian Merryweather,Julian Merryweather ,https://www.fangraphs.com/players/julian-merryweather/16703/stats?position=P,10/14/1991,ATL
rodr6111997,Julio Esteban Rodriguez,Julio E. Rodriguez ,https://www.fangraphs.com/players/julio-rodriguez/sa917669/stats?position=C,6/11/1997,ATL
pere742001,Junior Perez,Junior Perez ,https://www.fangraphs.com/players/junior-perez/sa3005744/stats?position=OF,7/4/2001,ATL
alca7122002,Kevin Alcantara,Kevin Alcantara ,https://www.fangraphs.com/players/kevin-alcantara/sa3008752/stats?position=OF,7/12/2002,ATL
whit2211995,Kodi Whitley,Kodi Whitley ,https://www.fangraphs.com/players/kodi-whitley/19731/stats?position=P,2/21/1995,ATL
glog161999,Kyle Glogoski,Kyle Glogoski ,https://www.fangraphs.com/players/kyle-glogoski/sa3007464/stats?position=P,1/6/1999,ATL
riva10101997,Leonardo Rivas,Leonardo Rivas ,https://www.fangraphs.com/players/leonardo-rivas/sa872542/stats?position=SS,10/10/1997,ATL
atl7312003,Luis Gutierrez ATL,Luis Gutierrez ,https://www.fangraphs.com/players/luis-gutierrez/sa3016469/stats?position=P,7/31/2003,ATL
mart12151993,Luis Marte,Luis Marté ,https://www.fangraphs.com/players/luis-marte/14515/stats?position=2B/3B/SS,12/15/1993,ATL
esco642002,Maikol Escotto,Maikol Escotto ,https://www.fangraphs.com/players/maikol-escotto/sa3008878/stats?position=2B/SS,6/4/2002,ATL
varg11171999,Miguel Vargas,Miguel Vargas ,https://www.fangraphs.com/players/miguel-vargas/sa3006896/stats?position=3B,11/17/1999,ATL
pear8201996,Nate Pearson,Nate Pearson ,https://www.fangraphs.com/players/nate-pearson/20160/stats?position=P,8/20/1996,ATL
atl6212000,Neraldo Catalina ATL,Neraldo Catalina ,https://www.fangraphs.com/players/neraldo-catalina/sa1172730/stats?position=P,6/21/2000,ATL
fant12301996,Nick Fanti,Nick Fanti ,https://www.fangraphs.com/players/nicholas-fanti/sa876058/stats?position=P,12/30/1996,ATL
podk4111997,Nick Podkul,Nick Podkul ,https://www.fangraphs.com/players/nick-podkul/sa3006720/stats?position=1B/2B/3B,4/11/1997,ATL
song5281997,Noah Song,Noah Song ,https://www.fangraphs.com/players/noah-song/sa3011695/stats?position=P,5/28/1997,ATL
maze10141993,Pat Mazeika,Patrick Mazeika ,https://www.fangraphs.com/players/patrick-mazeika/18142/stats?position=C,10/14/1993,ATL
rome6292001,Patrick Romeri,Patrick Romeri ,https://www.fangraphs.com/players/patrick-romeri/sa3010723/stats?position=OF,6/29/2001,ATL
gonz10271997,Pedro Gonzalez,Pedro Gonzalez ,https://www.fangraphs.com/players/pedro-gonzalez/sa872568/stats?position=OF,10/27/1997,ATL
doli1101988,Rafael Dolis,Rafael Dolis ,https://www.fangraphs.com/players/rafael-dolis/4185/stats?position=P,1/10/1988,ATL
atl2191998,Rodolfo Duran ATL,Rodolfo Durán ,https://www.fangraphs.com/players/rodolfo-duran/sa877500/stats?position=C,2/19/1998,ATL
cabr11221999,Rovaldis Cabrera,Rovaldis Cabrera ,https://www.fangraphs.com/players/rovaldis-cabrera/sa3002992/stats?position=P,11/22/1999,ATL
rodr6171994,RV Alfredo Rodriguez,Alfredo Rodriguez ,https://www.fangraphs.com/players/alfredo-rodriguez/sa922180/stats?position=SS,6/17/1994,ATL
bach631995,RV Lake Bachar,Lake Bachar ,https://www.fangraphs.com/players/lake-bachar/sa917993/stats?position=P,6/3/1995,ATL
fern7251995,RV Vince Fernandez,Vince Fernandez ,https://www.fangraphs.com/players/vincent-fernandez/sa873990/stats?position=OF,7/25/1995,ATL
hend12161994,Ryan Hendrix,Ryan Hendrix ,https://www.fangraphs.com/players/ryan-hendrix/19535/stats?position=P,12/16/1994,ATL
duen6111996,Samir Duenez,Samir Dueñez ,https://www.fangraphs.com/players/samir-duenez/sa739574/stats?position=1B,6/11/1996,ATL
yosh1241995,Shumpei Yoshikawa,Shumpei Yoshikawa ,https://www.fangraphs.com/players/shumpei-yoshikawa/sa3008654/stats?position=P,1/24/1995,ATL
edwa891999,Xavier Edwards,Xavier Edwards ,https://www.fangraphs.com/players/xavier-edwards/sa3007018/stats?position=2B/SS,8/9/1999,ATL
fern112003,Yanquiel Fernandez,Yanquiel Fernandez ,https://www.fangraphs.com/players/yanquiel-fernandez/sa3015648/stats?position=OF,1/1/2003,ATL
law9141990,Derek Law,Derek Law ,https://www.fangraphs.com/players/derek-law/13133/stats?position=P,9/14/1990,
toml10191984,Josh Tomlin,Josh Tomlin ,https://www.fangraphs.com/players/josh-tomlin/9388/stats?position=P,10/19/1984,
harv3271989,Matt Harvey,Matt Harvey ,https://www.fangraphs.com/players/matt-harvey/11713/stats?position=P,3/27/1989,
brot12181987,Rex Brothers,Rex Brothers ,https://www.fangraphs.com/players/rex-brothers/9794/stats?position=P,12/18/1987,
vogt1111984,Stephen Vogt,Stephen Vogt ,https://www.fangraphs.com/players/stephen-vogt/5000/stats?position=C,11/1/1984,
laga3171989,Juan Lagares,Juan Lagares ,https://www.fangraphs.com/players/juan-lagares/5384/stats?position=OF,3/17/1989,
stam391984,Craig Stammen,Craig Stammen ,https://www.fangraphs.com/players/craig-stammen/7274/stats?position=P,3/9/1984,
diaz811990,Aledmys Diaz,Aledmys Díaz ,https://www.fangraphs.com/players/aledmys-diaz/15937/stats?position=SS,8/1/1990,
cabr11131985,Asdrubal Cabrera,Asdrúbal Cabrera ,https://www.fangraphs.com/players/asdrubal-cabrera/4962/stats?position=SS,11/13/1985,
suzu1041983,Kurt Suzuki,Kurt Suzuki ,https://www.fangraphs.com/players/kurt-suzuki/8259/stats?position=C,10/4/1983,
gibs10231987,Kyle Gibson,Kyle Gibson ,https://www.fangraphs.com/players/kyle-gibson/10123/stats?position=P,10/23/1987,
wong10101990,Kolten Wong,Kolten Wong ,https://www.fangraphs.com/players/kolten-wong/12532/stats?position=2B,10/10/1990,
pine1181989,Michael Pineda,Michael Pineda ,https://www.fangraphs.com/players/michael-pineda/5372/stats?position=P,1/18/1989,
grei10111992,Grayson Greiner,Grayson Greiner ,https://www.fangraphs.com/players/grayson-greiner/17062/stats?position=C,10/11/1992,MIA
farm8171990,Kyle Farmer,Kyle Farmer ,https://www.fangraphs.com/players/kyle-farmer/14813/stats?position=SS,8/17/1990,MIA
rami811989,Nick Ramirez,Nick Ramirez ,https://www.fangraphs.com/players/nick-ramirez/12575/stats?position=P,8/1/1989,MIA
rodr651992,Dereck Rodriguez,Dereck Rodríguez ,https://www.fangraphs.com/players/dereck-rodriguez/14509/stats?position=P,6/5/1992,MIA
verh10221990,Drew Verhagen,Drew VerHagen ,https://www.fangraphs.com/players/drew-verhagen/13424/stats?position=P,10/22/1990,MIA
flor12271990,Dylan Floro,Dylan Floro ,https://www.fangraphs.com/players/dylan-floro/13394/stats?position=P,12/27/1990,MIA
delg291990,Randall Delgado,Randall Delgado ,https://www.fangraphs.com/players/randall-delgado/5985/stats?position=P,2/9/1990,MIA
mont3211993,Frankie Montas,Frankie Montas ,https://www.fangraphs.com/players/frankie-montas/14309/stats?position=P,3/21/1993,MIA
bich351998,Bo Bichette,Bo Bichette ,https://www.fangraphs.com/players/bo-bichette/19612/stats?position=SS,3/5/1998,MIA
marg9281994,Manuel Margot,Manuel Margot ,https://www.fangraphs.com/players/manuel-margot/14712/stats?position=OF,9/28/1994,MIA
shaw4161990,Travis Shaw,Travis Shaw ,https://www.fangraphs.com/players/travis-shaw/11982/stats?position=3B,4/16/1990,MIA
pill141989,Kevin Pillar,Kevin Pillar ,https://www.fangraphs.com/players/kevin-pillar/12434/stats?position=OF,1/4/1989,MIA
dool9261986,Sean Doolittle,Sean Doolittle ,https://www.fangraphs.com/players/sean-doolittle/1581/stats?position=P,9/26/1986,MIA
upto8251987,Justin Upton,Justin Upton ,https://www.fangraphs.com/players/justin-upton/5222/stats?position=OF,8/25/1987,MIA
arri361986,Jake Arrieta,Jake Arrieta ,https://www.fangraphs.com/players/jake-arrieta/4153/stats?position=P,3/6/1986,MIA
smit7101989,Will Smith,Will Smith ,https://www.fangraphs.com/players/will-smith/8048/stats?position=P,7/10/1989,MIA
quin1241989,Jose Quintana,José Quintana ,https://www.fangraphs.com/players/jose-quintana/11423/stats?position=P,1/24/1989,MIA
gonz3141989,Marwin Gonzalez,Marwin Gonzalez ,https://www.fangraphs.com/players/marwin-gonzalez/5497/stats?position=SS,3/14/1989,MIA
irvi1311994,Cole Irvin,Cole Irvin ,https://www.fangraphs.com/players/cole-irvin/19244/stats?position=P,1/31/1994,MIA
kapr321994,James Kaprielian,James Kaprielian ,https://www.fangraphs.com/players/james-kaprielian/18331/stats?position=P,3/2/1994,MIA
nort5281990,Aaron Northcraft,Aaron Northcraft ,https://www.fangraphs.com/players/aaron-northcraft/10218/stats?position=P,5/28/1990,MIA
hern321992,Ariel Hernandez,Ariel Hernández ,https://www.fangraphs.com/players/ariel-hernandez/15603/stats?position=P,3/2/1992,MIA
mcco5241998,Brady McConnell,Brady McConnell ,https://www.fangraphs.com/players/brady-mcconnell/sa3010331/stats?position=SS,5/24/1998,MIA
tura11211999,Brice Turang,Brice Turang ,https://www.fangraphs.com/players/brice-turang/sa3008294/stats?position=SS,11/21/1999,MIA
stew1031991,Brock Stewart,Brock Stewart ,https://www.fangraphs.com/players/brock-stewart/16727/stats?position=P,10/3/1991,MIA
john10271995,Bryce Johnson,Bryce Johnson ,https://www.fangraphs.com/players/bryce-johnson/sa3004753/stats?position=OF,10/27/1995,MIA
gibs2121994,Cam Gibson,Cam Gibson ,https://www.fangraphs.com/players/cameron-gibson/sa659281/stats?position=OF,2/12/1994,MIA
mlod2191999,Carmen Mlodzinski,Carmen Mlodzinski ,https://www.fangraphs.com/players/carmen-mlodzinski/sa3014505/stats?position=P,2/19/1999,MIA
mcma241999,Chris McMahon,Chris McMahon ,https://www.fangraphs.com/players/christopher-mcmahon/sa3014429/stats?position=P,2/4/1999,MIA
