Unique ID,Sheet Name,Fangraphs Name,Fangraphs Link,DOB,Owner
lowr4171984,Jed Lowrie,Jed Lowrie ,https://www.fangraphs.com/players/jed-lowrie/4418/stats?position=2B/SS,4/17/1984,
mari3301991,Jake Marisnick,Jake Marisnick ,https://www.fangraphs.com/players/jake-marisnick/11339/stats?position=OF,3/30/1991,
arch9261988,Chris Archer,Chris Archer ,https://www.fangraphs.com/players/chris-archer/6345/stats?position=P,9/26/1988,
eato1261988,Adam Eaton,Adam Eaton ,https://www.fangraphs.com/players/adam-eaton/11205/stats?position=OF,12/6/1988,
dick5221989,Corey Dickerson,Corey Dickerson ,https://www.fangraphs.com/players/corey-dickerson/10762/stats?position=OF,5/22/1989,
jans9301987,Kenley Jansen,Kenley Jansen ,https://www.fangraphs.com/players/kenley-jansen/3096/stats?position=P,9/30/1987,
mart8211987,JD Martinez,J.D. Martinez ,https://www.fangraphs.com/players/jd-martinez/6184/stats?position=DH/OF,8/21/1987,
burn10221994,Corbin Burnes,Corbin Burnes ,https://www.fangraphs.com/players/corbin-burnes/19361/stats?position=P,10/22/1994,ARI
wing4151994,Trey Wingenter,Trey Wingenter ,https://www.fangraphs.com/players/trey-wingenter/17793/stats?position=P,4/15/1994,ARI
lowe771995,Nate Lowe,Nathaniel Lowe ,https://www.fangraphs.com/players/nate-lowe/19566/stats?position=1B,7/7/1995,ARI
gott8261992,Trevor Gott,Trevor Gott ,https://www.fangraphs.com/players/trevor-gott/15046/stats?position=P,8/26/1992,ARI
kuhl9101992,Chad Kuhl,Chad Kuhl ,https://www.fangraphs.com/players/chad-kuhl/14975/stats?position=P,9/10/1992,ARI
bras8261987,Ryan Brasier,Ryan Brasier ,https://www.fangraphs.com/players/ryan-brasier/5615/stats?position=P,8/26/1987,ARI
bren9141994,Jake Brentz,Jake Brentz ,https://www.fangraphs.com/players/jake-brentz/17783/stats?position=P,9/14/1994,ARI
tauc1231990,Mike Tauchman,Mike Tauchman ,https://www.fangraphs.com/players/mike-tauchman/15274/stats?position=OF,12/3/1990,ARI
roe1091986,Chaz Roe,Chaz Roe ,https://www.fangraphs.com/players/chaz-roe/9866/stats?position=P,10/9/1986,ARI
ande751990,Nick Anderson,Nick Anderson ,https://www.fangraphs.com/players/nick-anderson/18337/stats?position=P,7/5/1990,ARI
hade471994,Josh Hader,Josh Hader ,https://www.fangraphs.com/players/josh-hader/14212/stats?position=P,4/7/1994,ARI
rami9171992,Jose Ramirez,José Ramírez ,https://www.fangraphs.com/players/jose-ramirez/13510/stats?position=3B,9/17/1992,ARI
andr8261988,Elvis Andrus,Elvis Andrus ,https://www.fangraphs.com/players/elvis-andrus/8709/stats?position=SS,8/26/1988,ARI
pome11221988,Drew Pomeranz,Drew Pomeranz ,https://www.fangraphs.com/players/drew-pomeranz/11426/stats?position=P,11/22/1988,ARI
real3181991,JT Realmuto,J.T. Realmuto ,https://www.fangraphs.com/players/jt-realmuto/11739/stats?position=C,3/18/1991,ARI
odor3271990,Jake Odorizzi,Jake Odorizzi ,https://www.fangraphs.com/players/jake-odorizzi/6397/stats?position=P,3/27/1990,ARI
hend2101989,Liam Hendriks,Liam Hendriks ,https://www.fangraphs.com/players/liam-hendriks/3548/stats?position=P,2/10/1989,ARI
semi9171990,Marcus Semien,Marcus Semien ,https://www.fangraphs.com/players/marcus-semien/12533/stats?position=SS,9/17/1990,ARI
spri9191989,George Springer,George Springer ,https://www.fangraphs.com/players/george-springer/12856/stats?position=OF,9/19/1989,ARI
sche7271984,Max Scherzer,Max Scherzer ,https://www.fangraphs.com/players/max-scherzer/3137/stats?position=P,7/27/1984,ARI
garc321993,Adolis Garcia,Adolis García ,https://www.fangraphs.com/players/adolis-garcia/19287/stats?position=OF,3/2/1993,ARI
kitt3171990,Andrew Kittredge,Andrew Kittredge ,https://www.fangraphs.com/players/andrew-kittredge/12828/stats?position=P,3/17/1990,ARI
mcco4191995,Chas McCormick,Chas McCormick ,https://www.fangraphs.com/players/chas-mccormick/19599/stats?position=OF,4/19/1995,ARI
flex711994,Chris Flexen,Chris Flexen 플렉센,https://www.fangraphs.com/players/chris-flexen/13896/stats?position=P,7/1/1994,ARI
urqu511995,Jose Urquidy,José Urquidy ,https://www.fangraphs.com/players/jose-urquidy/18413/stats?position=P,5/1/1995,ARI
higa4201990,Kyle Higashioka,Kyle Higashioka ,https://www.fangraphs.com/players/kyle-higashioka/5517/stats?position=C,4/20/1990,ARI
bros3151994,Michael Brosseau,Mike Brosseau ,https://www.fangraphs.com/players/mike-brosseau/19683/stats?position=2B/3B,3/15/1994,ARI
uria631994,Ramon Urias,Ramón Urías ,https://www.fangraphs.com/players/ramon-urias/18795/stats?position=2B/SS,6/3/1994,ARI
hear8301994,Taylor Hearn,Taylor Hearn ,https://www.fangraphs.com/players/taylor-hearn/18325/stats?position=P,8/30/1994,ARI
merc2141993,Yermin Mercedes,Yermín Mercedes ,https://www.fangraphs.com/players/yermin-mercedes/17423/stats?position=DH,2/14/1993,ARI
mcki4291995,Zach McKinstry,Zach McKinstry ,https://www.fangraphs.com/players/zach-mckinstry/19392/stats?position=2B/OF,4/29/1995,ARI
lupl9261993,Jordan Luplow,Jordan Luplow ,https://www.fangraphs.com/players/jordan-luplow/16424/stats?position=OF,9/26/1993,ARI
sanc8161990,Adrian Sanchez,Adrián Sanchez ,https://www.fangraphs.com/players/adrian-sanchez/11338/stats?position=2B/3B,8/16/1990,ARI
mach4221993,Andres Machado,Andres Machado ,https://www.fangraphs.com/players/andres-machado/14681/stats?position=P,4/22/1993,ARI
wils741996,Cody Wilson,Cody Wilson ,https://www.fangraphs.com/players/cody-wilson/24671/stats?position=PH/PR,7/4/1996,ARI
sanc12311993,Miguel Sanchez,Miguel Sánchez ,https://www.fangraphs.com/players/miguel-sanchez/20074/stats?position=P,12/31/1993,ARI
brac4242001,Aaron Bracho,Aaron Bracho ,https://www.fangraphs.com/players/aaron-bracho/sa3010018/stats?position=2B,4/24/2001,ARI
arte3162003,Aeverson Arteaga,Aeverson Arteaga ,https://www.fangraphs.com/players/aeverson-arteaga/sa3014707/stats?position=SS,3/16/2003,ARI
alex4211998,AJ Alexy,A.J. Alexy ,https://www.fangraphs.com/players/aj-alexy/22343/stats?position=P,4/21/1998,ARI
bett7131995,Alec Bettinger,Alec Bettinger ,https://www.fangraphs.com/players/alec-bettinger/20312/stats?position=P,7/13/1995,ARI
rami8292002,Alexander Ramirez,Alexander Ramirez ,https://www.fangraphs.com/players/alexander-ramirez/sa3008757/stats?position=OF,8/29/2002,ARI
rami1132003,Alexander Ramirez,Alex Ramirez ,https://www.fangraphs.com/players/alexander-ramirez/sa3014695/stats?position=OF,1/13/2003,ARI
cerd11241999,Allan Cerda,Allan Cerda ,https://www.fangraphs.com/players/allan-cerda/sa3005504/stats?position=OF,11/24/1999,ARI
kniz231995,Andrew Knizner,Andrew Knizner ,https://www.fangraphs.com/players/andrew-knizner/19514/stats?position=C,2/3/1995,ARI
ari641996,Andrew Politi ARI,Andrew Politi ,https://www.fangraphs.com/players/andrew-politi/sa3007243/stats?position=P,6/4/1996,ARI
mart1272002,Angel Martinez,Angel Martinez ,https://www.fangraphs.com/players/angel-martinez/sa3008762/stats?position=2B/SS,1/27/2002,ARI
roja11262000,Angel Rojas,Angel Rojas ,https://www.fangraphs.com/players/angel-rojas/sa3005578/stats?position=2B/SS,11/26/2000,ARI
cast4131995,Anthony Castro,Anthony Castro ,https://www.fangraphs.com/players/anthony-castro/19789/stats?position=P,4/13/1995,ARI
lora9292002,Bayron Lora,Bayron Lora ,https://www.fangraphs.com/players/bayron-lora/sa3014712/stats?position=OF,9/29/2002,ARI
ruta681994,Ben Ruta,Ben Ruta ,https://www.fangraphs.com/players/ben-ruta/sa918694/stats?position=OF,6/8/1994,ARI
bail10191994,Brandon Bailey,Brandon Bailey ,https://www.fangraphs.com/players/brandon-bailey/19582/stats?position=P,10/19/1994,ARI
lemo1221998,Caden Lemons,Caden Lemons ,https://www.fangraphs.com/players/caden-lemons/sa3005350/stats?position=P,12/2/1998,ARI
liu471999,Chih-Jung Liu,Chih-Jung Liu ,https://www.fangraphs.com/players/chih-jung-liu/sa3014675/stats?position=P,4/7/1999,ARI
