Name,Team,Fangraphs Link,Owner,Fangraphs Name,DOB,Position,Level,WAR,AB,R,HR,RBI,SB,AVG,OPS,ISO,wOBA,K%,BB%,EV,LA,HardHit%,Barrel%,wRC,wRC400,IP,W,SO,SV,HLD,ERA,WHIP,BB,SO%,K/9,WALK%,WALK/9,K/BB,FIP,xFIP,SIERA,FB Velo
, ,https://www.fangraphs.com/players/nelson-rada/sa3018421/stats?position=OF,,Nelson Rada ,8/24/2005,OF,MLB,0,164.0,50.0,1.0,26.0,27.0,0.311,0.885,0.128,0.395,12.6%,12.6%,0.0,0.0,0%,0%,43.0,83.0,,,,,,,,,,,,,,,,,
, ,https://www.fangraphs.com/players/jaison-chourio/sa3018399/stats?position=OF,,Jaison Chourio ,5/19/2005,OF,MLB,0,132.0,32.0,1.0,28.0,14.0,0.28,0.847,0.121,0.383,12.6%,22.9%,0.0,0.0,0%,0%,36.0,82.0,,,,,,,,,,,,,,,,,
,Houston Astros ,https://www.fangraphs.com/players/kenni-gomez/sa3018430/stats?position=OF,,Kenni Gomez ,5/14/2005,OF,DSL,0,102.0,20.0,4.0,24.0,10.0,0.294,0.902,0.206,0.391,23.0%,14.8%,0.0,0.0,0%,0%,25.0,82.0,,,,,,,,,,,,,,,,,
,Philadelphia Phillies ,https://www.fangraphs.com/players/nikau-pouaka-grego/sa3018959/stats?position=2B/3B,,Nikau Pouaka-Grego ,9/13/2004,2B/3B,CPX,0,103.0,20.0,3.0,16.0,2.0,0.301,0.89,0.165,0.394,12.8%,12.8%,0.0,0.0,0%,0%,25.0,80.0,,,,,,,,,,,,,,,,,
,Houston Astros ,https://www.fangraphs.com/players/luis-baez/sa3018482/stats?position=OF,,Luis Baez ,1/11/2004,OF,DSL,0,203.0,40.0,9.0,43.0,10.0,0.305,0.903,0.246,0.383,25.2%,6.3%,0.0,0.0,0%,0%,43.0,77.0,,,,,,,,,,,,,,,,,
,Colorado Rockies ,https://www.fangraphs.com/players/dyan-jorge/sa3018387/stats?position=SS,,Dyan Jorge ,3/18/2003,SS,DSL,0,206.0,37.0,4.0,25.0,13.0,0.32,0.853,0.131,0.376,15.0%,10.3%,0.0,0.0,0%,0%,45.0,77.0,,,,,,,,,,,,,,,,,
,Baltimore Orioles ,https://www.fangraphs.com/players/braylin-tavera/sa3018416/stats?position=OF,,Braylin Tavera ,2/19/2005,OF,DSL,0,144.0,24.0,2.0,14.0,7.0,0.243,0.73,0.076,0.344,25.4%,19.5%,0.0,0.0,0%,0%,31.0,67.0,,,,,,,,,,,,,,,,,
,Miami Marlins ,https://www.fangraphs.com/players/antony-peguero/sa3018630/stats?position=OF,,Antony Peguero ,6/14/2005,OF,DSL,0,196.0,24.0,5.0,33.0,7.0,0.286,0.778,0.138,0.344,16.1%,6.0%,0.0,0.0,0%,0%,35.0,65.0,,,,,,,,,,,,,,,,,
,New York Mets ,https://www.fangraphs.com/players/dangelo-sarmiento/sa3018499/stats?position=SS,,Dangelo Sarmiento ,1/4/2005,SS,DSL,0,112.0,21.0,1.0,16.0,9.0,0.295,0.767,0.098,0.339,16.8%,9.9%,0.0,0.0,0%,0%,21.0,64.0,,,,,,,,,,,,,,,,,
,St. Louis Cardinals ,https://www.fangraphs.com/players/won-bin-cho/sa3019526/stats?position=OF,,Won-Bin Cho ,8/20/2003,OF,CPX,0,76.0,10.0,1.0,3.0,6.0,0.211,0.716,0.105,0.338,27.0%,20.0%,0.0,0.0,0%,0%,16.0,64.0,,,,,,,,,,,,,,,,,
,Pittsburgh Pirates ,https://www.fangraphs.com/players/yordany-de-los-santos/sa3018408/stats?position=SS,,Yordany De Los Santos ,2/17/2005,SS,DSL,0,190.0,35.0,1.0,38.0,14.0,0.258,0.735,0.105,0.33,19.2%,13.7%,0.0,0.0,0%,0%,37.0,63.0,,,,,,,,,,,,,,,,,
,Cincinnati Reds ,https://www.fangraphs.com/players/ricardo-cabrera/sa3018405/stats?position=SS,,Ricardo Cabrera ,10/31/2004,SS,DSL,0,150.0,30.0,1.0,19.0,5.0,0.253,0.743,0.127,0.333,22.2%,7.2%,0.0,0.0,0%,0%,28.0,62.0,,,,,,,,,,,,,,,,,
, ,https://www.fangraphs.com/players/erick-torres/sa3018641/stats?position=OF,,Erick Torres ,12/20/2004,OF,MLB,0,173.0,36.0,3.0,16.0,14.0,0.266,0.747,0.116,0.335,17.3%,10.4%,0.0,0.0,0%,0%,31.0,61.0,,,,,,,,,,,,,,,,,
,Seattle Mariners ,https://www.fangraphs.com/players/martin-gonzalez/sa3018434/stats?position=2B/SS,,Martin Gonzalez ,9/28/2004,2B/SS,DSL,0,172.0,28.0,3.0,24.0,2.0,0.233,0.702,0.093,0.326,40.0%,14.9%,0.0,0.0,0%,0%,32.0,60.0,,,,,,,,,,,,,,,,,
,Washington Nationals ,https://www.fangraphs.com/players/cristhian-vaquero/sa3018403/stats?position=OF,,Cristhian Vaquero ,9/13/2004,OF,DSL,0,176.0,33.0,1.0,22.0,17.0,0.256,0.719,0.085,0.325,17.6%,15.3%,0.0,0.0,0%,0%,32.0,59.0,,,,,,,,,,,,,,,,,
,Atlanta Braves ,https://www.fangraphs.com/players/douglas-glod/sa3019685/stats?position=OF,,Douglas Glod ,1/20/2005,OF,DSL,0,104.0,23.0,2.0,13.0,3.0,0.202,0.707,0.154,0.322,28.1%,17.2%,0.0,0.0,0%,0%,18.0,56.0,,,,,,,,,,,,,,,,,
,Minnesota Twins ,https://www.fangraphs.com/players/yilber-herrera/sa3018425/stats?position=2B/SS,,Yilber Herrera ,1/15/2005,2B/SS,DSL,0,116.0,15.0,1.0,11.0,10.0,0.181,0.659,0.129,0.306,26.8%,20.1%,0.0,0.0,0%,0%,20.0,54.0,,,,,,,,,,,,,,,,,
,Arizona Diamondbacks ,https://www.fangraphs.com/players/yerald-nin/sa3018479/stats?position=2B/SS,,Yerald Nin ,8/18/2005,2B/SS,DSL,0,165.0,31.0,3.0,18.0,13.0,0.23,0.66,0.103,0.298,21.6%,11.6%,0.0,0.0,0%,0%,24.0,51.0,,,,,,,,,,,,,,,,,
