,name,dob,owner
0,Evan Edwards,,CIN
1,Lamonte Wade,1994-01-01,CIN
2,Peter Bayer,1994-03-06,CIN
3,Gio Gonzalez,,CIN
4,Jose De Leon,,CIN
5,Christopher Morel,,CIN
6,Tyler Stephenson,,CIN
7,Bailey Clark,,CIN
8,Cory Gearrin,1986-04-14,CIN
9,Jeremy Beasley,1995-11-20,CIN
10,Trayce Thompson,1991-03-15,CIN
11,Jerad Eickhoff,1990-07-02,CIN
12,Aaron Sanchez,1992-07-01,CIN
13,Rudy Flores,1990-12-12,CIN
14,Brian Schales,1996-02-13,CIN
15,Corey Dickerson,1989-05-22,CIN
16,Luis Guillorme,1994-09-27,CIN
17,Elier Hernandez,1994-11-21,CIN
18,Richie Martin,,CIN
19,Brooks Pounders,1990-09-26,CIN
20,Logan Morrison,1987-08-25,CIN
21,Greg Bird,1992-11-09,CIN
22,Dustin Garneau,1987-08-13,CIN
23,Seth Beer,1996-09-18,CIN
24,Austin Dean,1993-10-14,CIN
25,Edubray Ramos,1992-12-19,CIN
26,Max George,,CIN
27,Ledarious Clark,1993-12-17,CIN
28,Corey Oswalt,1993-09-03,CIN
29,Luke Wakamatsu,1996-10-10,CIN
30,Jake Arrieta,1986-03-06,CIN
31,Trace Loehr,1995-05-23,CIN
32,Blaine Hardy,1987-03-14,CIN
33,Brendon Davis,,CIN
34,Austin Decarr,1995-03-14,CIN
35,Brandon Waddell,1994-06-03,CIN
36,Jorge Bonifacio,1993-06-04,CIN
37,Zac Curtis,1992-07-04,CIN
38,Cody Poteet,1994-07-30,CIN
39,Shogo Akiyama,1988-04-16,CIN
40,Chris Stratton,,CIN
41,Jeff Thompson,,CIN
42,SD Mark Payton,,CIN
43,Mckenzie Mills,1995-11-19,CIN
44,Edwin Rios,1994-04-21,CIN
45,Dylan Covey,1991-08-14,CIN
46,Dan Vogelbach,1992-12-17,CIN
47,Madison Bumgarner,1989-08-01,CIN
48,Chris Taylor,1990-08-29,CIN
49,Marcus Wilson,,CIN
50,Julio Martinez,1987-08-21,CIN
51,Matt Koch,,CIN
52,Zack Jones,1990-12-04,CIN
53,Silvino Bracho,1992-07-17,CIN
54,Casey Golden,,CIN
55,Jake Newberry,1994-11-20,CIN
56,James Hoyt,,CIN
57,Ryan Eades,1991-12-15,CIN
58,Josh D. Smith,,CIN
59,Pat Venditte,1985-06-30,CIN
60,Rosell Herrera,1992-10-16,CIN
61,Zack Brown,1994-12-15,CIN
62,Josh Graham,,CIN
63,Michael Rucker,,CIN
64,Drew Mount,1996-03-24,CIN
65,Pearson Mcmahan,1996-07-01,CIN
66,Aaron Brown,1992-06-20,CIN
67,Greg Cullen,1996-11-13,CIN
68,Montana DuRapau,1992-03-27,CIN
69,Tim Beckham,1990-01-27,CIN
70,JA Happ,,CIN
71,Jake Lamb,,CIN
72,Pabel Manzanero,1996-01-30,CIN
73,Mikey York,1996-02-24,CIN
74,Blake Allemand,1992-07-01,CIN
75,Miles Gordon,,CIN
76,Rob Brantly,1989-07-14,CIN
