playername,owner
1) C Tyler Stephenson CIN,CIN
2) C Curt Casali CIN $0.50 [6],CIN
3) C Dustin Garneau HOU,CIN
4) 1B Dan Vogelbach MIL $1.35 [3],CIN
5) 1B Seth Beer ARI,CIN
6) 2B/SS/OF Chris Taylor LAD $3.30 [5],CIN
7) 2B Luis Guillorme NYM,CIN
8) SS Richie Martin BAL $0.50 [2],CIN
9) SS Mason McCoy BAL,CIN
10) 3B Edwin Rios LAD,CIN
11) OF Corey Dickerson MIA $7.1 [2021],CIN
12) OF Shogo Akiyama CIN $9.00 [2021],CIN
13) OF Austin Dean STL $0.50 [3],CIN
14) OF Jorge Bonifacio DET $0.50 [5],CIN
15) OF Lamonte Wade MIN,CIN
16) OF Ka'ai Tom OAK,CIN
17) OF Mark Payton CIN,CIN
18) OF Casey Golden COL,CIN
19) SP Madison Bumgarner ARI $13.2 [2023],CIN
20) SP Danny Duffy KC $9.40 [2021],CIN
21) SP Gio Gonzalez FA $3.49 [2021],CIN
22) SP JA Happ FA $5.10 [2021],CIN
23) SP Johan Oviedo STL,CIN
24) RP Chris Stratton PIT $0.50 [5],CIN
25) SP Corey Oswalt NYM $0.50 [4],CIN
26) RP Jake Newberry KC $0.50 [3],CIN
27) RP James Hoyt MIA,CIN
28) RP Edubray Ramos TEX $0.50 [4],CIN
29) RP Randy Rosario KC,CIN
30) RP Brandon Waddell PIT,CIN
31) RP Silvino Bracho SF,CIN
32) RP Jeremy Beasley ARI,CIN
33) SP Zack Brown MIL,CIN
34) RP Michael Rucker CHC,CIN
"1. Christian Vazquez, C, BOS (2021)+ $4.43, $5.08*",BAL
"2. Brandon Belt, 1B, SF (2021) $13.36",BAL
"3. Chris Davis, 1B, BAL (2021) $2.40",BAL
"4. Cavan Biggio, 2B/3B/OF, TOR (3) $1.65",BAL
"5. Yolmer Sanchez, 2B/3B, BAL (2021) $1.0",BAL
"6. Joe Panik, 2B/SS/3B, FA (2021) $1.80",BAL
"7. Matt Duffy, 3B, CHC (5) $.50",BAL
"8. Dexter Fowler, OF, STL (2021) $4.30",BAL
"9. Ian Desmond, OF, COL (2021) $1.10 ",BAL
"10. Andrew Stevenson, OF, WAS (NCT)",BAL
"11. Jose Marmolejos, 1B/OF, SEA (NCT)",BAL
"15. Corey Kluber, SP, FA (2021) $9.14",BAL
"16. Chris Archer, SP, FA (2021) $5.34",BAL
"17. Merrill Kelly, SP, ARI (3) $1.64",BAL
"18. Brett Anderson, SP, FA (2021) $3.60",BAL
"19. John Means, SP, BAL (3) $1.52",BAL
"20. Tejay Antone, SP/RP, CIN (NCT)",BAL
"21. Jaime Barria, SP, LAA (4) $.50",BAL
"22. Jose Cisnero, RP, DET (NCT)",BAL
"23. John Curtiss, SP/RP, TB (NCT)",BAL
"24. Andre Scrubb, RP, HOU (NCT)",BAL
"25. Sean Poppen, RP, PIT (NCT)",BAL
"26. Codi Heuer, RP, CWS (NCT)",BAL
"27. Joey Bart, C, SF (NCT)",BAL
"28. Luis Barrera, OF, OAK (NCT)",BAL
"29. Miguel Yajure, SP, NYY (NCT)",BAL
"30. Garrett Cleavinger, RP, LAD (NCT)",BAL
"31. Jackson Rees, RP, TOR (NCT)",BAL
"32. Matt Bush, RP, TEX (4) $.50",BAL
"33. Nick Banks, OF, WAS (NCT)",BAL
"34. Mac Sceroler, SP, BAL (NCT)",BAL
"35. Marshall Kasowski, RP, LAD (NCT)",BAL
"36. Francis Martes, SP, HOU (2) $.50",BAL
"37. Trevor Williams, SP, FA (5) $.50",BAL
"38. Jacob Rhame, RP, SDP (NCT)",BAL
"39. Tyler Anderson, SP, FA (6) $.50",BAL
01 Jorge Alfaro (4) $0.6 M,BOS
02 Sandy Leon (6) $0.5 M,BOS
03 Joey Votto $21.80 (2023)+,BOS
04 Jon Berti (3) $1.2 M,BOS
05 Brett Sullivan (NCT),BOS
06 Dansby Swanson (5) $4.5 M ,BOS
07 Daniel Ray Robertson (5) $.50,BOS
08 Wyatt Mathisen (NCT),BOS
09 Mike Yastrzemski (3) $2.1,BOS
10 Michael Chavis (3) $0.5 M,BOS
11 Tyler Naquin (6) $0.8 M,BOS
12 Chris Shaw (NCT),BOS
13 Nelson Cruz $11.5M (2021),BOS
14 Jorge Lopez (4) $0.5 M,BOS
15 Patrick Corbin $22.92M (2024),BOS
16 Felix Pena (4) $1.33 M,BOS
17 Max Fried (3) $3.14 M,BOS
18 Tyler Alexander (3) $0.5 M,BOS
19 Kwang-Hyun Kim $7.8M (2021),BOS
20 Carson Fulmer (NCT),BOS
21 Jojo Romero (NCT),BOS
22 Aaron Bummer (3) $1.75 M,BOS
23 Ryne Stanek (4) $0.5 M,BOS
24 Adam Ottavino $10.50 (2021),BOS
25 Genesis Cabrera (NCT),BOS
26 Matt Barnes $5.45M (6),BOS
27. Austin Gomber $.5m (3),BOS
28. Matt Krook (NCT),BOS
29. Kevin Merrell (NCT),BOS
30. Nick Burdi (NCT),BOS
31. Jake Noll (NCT),BOS
32. Tyler Kinley (NCT),BOS
33. Stephen Gonsalves (NCT),BOS
34. Chris Devenski - $0.50M (6),BOS
35. Junior Fernandez (NCT),BOS
36. Christian Lopes (NCT),BOS
37. Jesse Hahn $1.75M (2021),BOS
38. Josh Sborz (NCT),BOS
39. Robinson Leyer (NCT),BOS
40. Kramer Robertson (NCT),BOS
