,name,dob,owner
0,Yasiel Puig,1990-12-07,ARI
1,Andy Young,,ARI
2,Chris Flexen,1994-07-01,ARI
3,Ed Howard,,ARI
4,Trevor Gott,1992-08-26,ARI
5,Jack Mayfield,,ARI
6,George Springer,1989-09-19,ARI
7,Jesus Aguilar,,ARI
8,Trey Wingenter,1994-04-15,ARI
9,Edward Cabrera,,ARI
10,Luis Gil,,ARI
11,Nate Lowe,1995-07-07,ARI
12,Diowell Burgos,,ARI
13,Chih-Jung Liu,,ARI
14,JD Martinez,1987-08-21,ARI
15,Marcus Semien,1990-09-17,ARI
16,Jose Ramirez,1992-09-17,ARI
17,JD Hammer,1994-07-12,ARI
18,Eric Haase,1992-12-18,ARI
19,Josh Hader,1994-04-07,ARI
20,Andrew McCutchen,1986-10-10,ARI
21,Mark Zagunis,1993-02-05,ARI
22,Jose Urquidy,1995-05-01,ARI
23,Delvin Perez,,ARI
24,John Gant,1992-08-06,ARI
25,Andrew Triggs,1989-03-16,ARI
26,Corbin Burnes,1994-10-22,ARI
27,Chaz Roe,1986-10-09,ARI
28,Humberto Castellanos,,ARI
29,Ryan Burr,1994-05-28,ARI
30,Andrew Knizner,1995-02-03,ARI
31,Taylor Hearn,1994-08-30,ARI
32,Niko Goodrum,1992-02-28,ARI
33,Michael Brosseau,1994-03-15,ARI
34,Ben Ruta,1994-06-08,ARI
35,Andrew Kittredge,1990-03-17,ARI
36,Tyler Heineman,1991-06-19,ARI
37,Justin Topa,1991-03-07,ARI
38,Diego Castillo,1994-01-18,ARI
39,Tommy Milone,1987-02-16,ARI
40,Nick Anderson,1990-07-05,ARI
41,Yermin Mercedes,1993-02-14,ARI
42,Kyle Higashioka,1990-04-20,ARI
43,Bayron Lora,,ARI
44,Nick Tropeano,1990-08-27,ARI
45,Adolis Garcia,1993-03-02,ARI
46,Eduarqi Fernandez,,ARI
47,Miguel Aparicio,,ARI
48,Max Scherzer,1984-07-27,ARI
49,Ryan Brasier,1987-08-26,ARI
50,Anthony Castro,1995-04-13,ARI
51,Alec Bettinger,1995-07-13,ARI
52,Aeverson Arteaga,,ARI
53,Michael Mercado,,ARI
54,Zach McKinstry,1995-04-29,ARI
