,name,dob,owner
0,Bryce Harper,1992-10-16,ATL
1,Danny Salazar,,ATL
2,Cedric Mullins,1994-10-01,ATL
3,Willson Contreras,1992-05-13,ATL
4,Jacob Scavuzzo,1994-01-15,ATL
5,Brandon Workman,1988-08-13,ATL
6,Carlos Correa,1994-09-22,ATL
7,Andres Munoz,,ATL
8,Colin Poche,1994-01-17,ATL
9,Alex Bregman,1994-03-30,ATL
10,Keone Kela,1993-04-16,ATL
11,Drew Pomeranz,1988-11-22,ATL
12,Phillips Valdez,1991-11-16,ATL
13,Jordan Romano,1993-04-21,ATL
14,Tommy Pham,1988-03-08,ATL
15,Yairo Munoz,1995-01-23,ATL
16,Randy Arozarena,1995-02-28,ATL
17,Yoenis Cespedes,1985-10-18,ATL
18,Peter O'Brien,,ATL
19,Yanio Perez,1995-08-10,ATL
20,David Robertson,1985-04-09,ATL
21,Mike Foltynewicz,1991-10-07,ATL
22,Julian Merryweather,1991-10-14,ATL
23,Matt Wisler,1992-09-12,ATL
24,Luis Castillo,1992-12-12,ATL
25,Ian Gibaut,1993-11-19,ATL
26,Edgar Santana,1991-10-16,ATL
27,Jhon Diaz,,ATL
28,Josh Bell,1992-08-14,ATL
29,Ryan Tepera,1987-11-03,ATL
30,Jared Miller,1993-08-21,ATL
31,Junior Perez,,ATL
32,Hedbert Perez,,ATL
33,Kodi Whitley,1995-02-21,ATL
34,Pat Mazeika,1993-10-14,ATL
35,Brandon Lowe,,ATL
36,Koda Glover,1993-04-13,ATL
37,Dean Deetz,1993-11-29,ATL
38,Nick Senzel,1995-06-29,ATL
39,Mitch Nay,1993-09-20,ATL
40,Juan De Leon,,ATL
41,Jake Diekman,1987-01-21,ATL
42,Marcell Ozuna,1990-11-12,ATL
43,Damon Jones,1994-09-30,ATL
44,Drew Ward,1994-11-25,ATL
45,Tyler Wells,,ATL
46,Tim Hill,,ATL
47,Ryan Hendrix,1994-12-16,ATL
48,CD Pelham,1995-02-21,ATL
49,Erick Mejia,,ATL
50,Pedro Pages,,ATL
51,Karl Kauffman,,ATL
52,JJ Matijevic,1995-11-14,ATL
