,name,dob,owner
0,Ian Desmond,1985-09-20,BAL
1,Tejay Antone,1993-12-05,BAL
2,Luis Barrera,,BAL
3,Brady Lail,1993-08-09,BAL
4,Brandon Belt,1988-04-20,BAL
5,Hector Yan,,BAL
6,Jacob Rhame,1993-03-16,BAL
7,Matt Bush,,BAL
8,Chris Davis,1986-03-17,BAL
9,Ryan Jensen,,BAL
10,Cavan Biggio,1995-04-11,BAL
11,Rangel Ravelo,1992-04-24,BAL
12,Joe Panik,1990-10-30,BAL
13,Chris Archer,1988-09-26,BAL
14,Zack Littell,1995-10-05,BAL
15,Jackson Rees,1995-03-02,BAL
16,Christian Vazquez,,BAL
17,Andrew Stevenson,,BAL
18,Joey Rickard,1991-05-21,BAL
19,Josh Ockimey,1995-10-18,BAL
20,Joey Bart,,BAL
21,Trevor Williams,,BAL
22,Williams Jerez,1992-05-16,BAL
23,Michael Grove,,BAL
24,John Means,,BAL
25,Preston Palmeiro,1995-01-22,BAL
26,Brett Anderson,,BAL
27,Mac Sceroler,1995-04-09,BAL
28,Francis Martes,1995-11-24,BAL
29,Brayan Medina,,BAL
30,Marshall Kasowski,1995-03-10,BAL
31,Tyler Olson,1989-10-02,BAL
32,Cristhian Adames,1991-07-26,BAL
33,Sean Poppen,1994-03-15,BAL
34,John Curtiss,,BAL
35,John Ryan Murphy,1991-05-13,BAL
36,Andre Scrubb,1995-01-13,BAL
37,Corey Kluber,1986-04-10,BAL
38,Eddy Alvarez,1990-01-30,BAL
39,Dexter Fowler,1986-03-22,BAL
40,Emmanuel Rodriguez,,BAL
41,Jose Cisnero,1989-04-11,BAL
42,Micker Adolfo (Zapata),,BAL
43,Zach Granite,1992-09-17,BAL
44,Merrill Kelly,1988-10-14,BAL
45,Kohl Stewart,1994-10-07,BAL
46,Nick Banks,,BAL
47,Garrett Cleavinger,1994-04-23,BAL
48,Austin Martin,,BAL
