,name,dob,owner
0,Dansby Swanson,1994-02-11,BOS
1,Joey Votto,1983-09-10,BOS
2,Jorge Lopez,,BOS
3,Tyler Kinley,1991-01-31,BOS
4,Adam Ottavino,1985-11-22,BOS
5,Hernan Perez,1991-03-26,BOS
6,Michael Chavis,1995-08-11,BOS
7,Tyler Austin,1991-09-06,BOS
8,Mike Yastrzemski,,BOS
9,Pat Corbin,1989-07-19,BOS
10,William Holmes,,BOS
11,Matt Barnes,1990-06-17,BOS
12,Max Fried,,BOS
13,Bryson Brigman,1995-06-19,BOS
14,Tyler Alexander,1990-10-19,BOS
15,Chris Devenski,1990-11-13,BOS
16,Aaron Bummer,1993-09-21,BOS
17,Nick Burdi,1993-01-19,BOS
18,Sandy Leon,1989-03-13,BOS
19,Wyatt Mathisen,1993-12-30,BOS
20,Kramer Robertson,1994-09-20,BOS
21,Oscar De La Cruz,1995-03-04,BOS
22,Nelson Cruz,,BOS
23,Jesse Hahn,1989-07-30,BOS
24,Matt Krook,1994-10-21,BOS
25,Pedro Avila,,BOS
26,Gilbert Lara,,BOS
27,Jake Noll,1994-03-08,BOS
28,Chris Shaw,1993-10-20,BOS
29,Matt Szczur,1989-07-20,BOS
30,Andrew Lockett,1994-05-03,BOS
31,Austin Gomber,1993-11-23,BOS
32,Josh Sborz,1993-12-17,BOS
33,Brett Sullivan,1994-02-22,BOS
34,JT Riddle,1991-10-12,BOS
35,Ryne Stanek,1991-07-26,BOS
36,Felix Pena,,BOS
37,Brett Graves,1993-01-30,BOS
38,Charlie Tilson,1992-12-02,BOS
39,Carlos Sepulveda,,BOS
40,Kwang-Hyun Kim,1988-07-22,BOS
41,Warwick Saupold,1990-01-16,BOS
42,Jose Simon Pastrano,,BOS
43,Carson Fulmer,1993-12-13,BOS
44,Tyler Kolek,1995-12-15,BOS
45,Nick Kennedy,1988-09-01,BOS
46,Alvaro Gonzalez,1993-08-03,BOS
47,Christian Lopes,1992-10-01,BOS
48,Stephen Gonsalves,1994-07-08,BOS
49,Kevin Merrell,1995-12-14,BOS
50,Charles Mack,,BOS
51,Daniel Ray Robertson,1994-03-22,BOS
52,Carlos Rodriguez MIL,,BOS
53,Jonathon Berti,1990-01-22,BOS
54,Mark Leiter,,BOS
55,Jorge Alfaro,1993-06-11,BOS
56,Trevor Clifton,1995-05-11,BOS
57,Tyler Naquin,1991-04-24,BOS
58,Hugh Smith,,BOS
59,Osvani Gutierrez,,BOS
60,Allen Cordoba,1995-12-06,BOS
61,Jamie Westbrook,1995-06-18,BOS
62,Nick Raquet,1995-12-12,BOS
63,Jake Rave,,BOS
64,Robinson Leyer,1993-03-13,BOS
