,name,dob,owner
0,Guillermo Heredia,,CHC
1,Emilio Pagan,1991-05-07,CHC
2,Domingo German,,CHC
3,Xander Bogaerts,1992-10-01,CHC
4,Chadwick Tromp,1995-03-21,CHC
5,Gabriel Arias,1989-12-06,CHC
6,Rafael Montero,,CHC
7,Leury Garcia,1991-03-18,CHC
8,Johan Camargo,1993-12-13,CHC
9,Alec Marsh,,CHC
10,Spencer Howard,,CHC
11,Javier Guerra,1985-10-31,CHC
12,Eric Hosmer,1989-10-24,CHC
13,Luis Campusano,,CHC
14,Rouismar Quintana,,CHC
15,Matthew Bowman,1991-05-31,CHC
16,James Bourque,1993-07-09,CHC
17,Austin Hedges,,CHC
18,George Kirby,,CHC
19,Ian Lewis,,CHC
20,Chasen Bradford,1989-08-05,CHC
21,Spencer Adams,,CHC
22,Michael Harris,1991-08-10,CHC
23,Victor Gonzalez,1995-11-16,CHC
24,Mauricio Dubon,1994-07-19,CHC
25,Brandon Williamson,,CHC
26,Kyle Barraclough,1990-05-23,CHC
27,Riley Thompson,,CHC
28,Tommy Henry,,CHC
29,Jalen Miller,1993-03-15,CHC
30,TJ Zeuch,1995-08-01,CHC
31,Ben Braymer,1994-04-28,CHC
32,Connor Brogdon,1995-01-29,CHC
33,Aaron Hicks,1989-10-02,CHC
34,Greyson Janista,,CHC
35,Rhett Wiseman,1994-06-22,CHC
36,Adam Scott,,CHC
37,Jimmy Herget,1993-09-09,CHC
38,Aaron Civale,1995-06-12,CHC
39,Jojanse Torres,1995-08-04,CHC
40,Jace Vines,1994-09-04,CHC
41,Alexis Torres,,CHC
42,Eric Skoglund,1992-10-26,CHC
43,Travis Bergen,1993-10-08,CHC
44,Eduardo Escobar,,CHC
45,Jose Urena,1991-09-12,CHC
46,Will Toffey,1994-12-31,CHC
47,Jonny Honza,,CHC
48,Carlos Rincon,,CHC
49,Ryan Sheriff,,CHC
50,Bryan Reynolds,1995-01-27,CHC
51,Bennett Sousa,1995-04-06,CHC
52,John Rooney,,CHC
53,Stefan Crichton,1992-02-29,CHC
54,Tanner Burns,,CHC
55,Logan Taylor Allen,,CHC
