,name,dob,owner
0,Evan Edwards,,CIN
1,Lamonte Wade,1994-01-01,CIN
2,Peter Bayer,1994-03-06,CIN
3,Gio Gonzalez,,CIN
4,Jose De Leon,1992-08-07,CIN
5,Christopher Morel,,CIN
6,Tyler Stephenson,,CIN
7,Bailey Clark,,CIN
8,Cory Gearrin,1986-04-14,CIN
9,Jeremy Beasley,1995-11-20,CIN
10,Trayce Thompson,1991-03-15,CIN
11,Jerad Eickhoff,1990-07-02,CIN
12,Danny Duffy,1988-12-21,CIN
13,Rudy Flores,1990-12-12,CIN
14,Corey Dickerson,1989-05-22,CIN
15,Luis Guillorme,1994-09-27,CIN
16,Elier Hernandez,1994-11-21,CIN
17,Richie Martin,,CIN
18,Brooks Pounders,1990-09-26,CIN
19,Greg Bird,1992-11-09,CIN
20,Dustin Garneau,1987-08-13,CIN
21,Austin Dean,1993-10-14,CIN
22,Edubray Ramos,1992-12-19,CIN
23,Max George,,CIN
24,Ledarious Clark,1993-12-17,CIN
25,Corey Oswalt,1993-09-03,CIN
26,Trace Loehr,1995-05-23,CIN
27,Blaine Hardy,1987-03-14,CIN
28,Austin Decarr,1995-03-14,CIN
29,Brandon Waddell,1994-06-03,CIN
30,Jorge Bonifacio,1993-06-04,CIN
31,Zac Curtis,1992-07-04,CIN
32,Cody Poteet,1994-07-30,CIN
33,Shogo Akiyama,1988-04-16,CIN
34,Chris Stratton,,CIN
35,Jeff Thompson,,CIN
36,Mark Payton,1991-12-07,CIN
37,Mckenzie Mills,1995-11-19,CIN
38,Edwin Rios,1994-04-21,CIN
39,Dylan Covey,1991-08-14,CIN
40,Dan Vogelbach,1992-12-17,CIN
41,Madison Bumgarner,1989-08-01,CIN
42,Chris Taylor,1990-08-29,CIN
43,Marcus Wilson,,CIN
44,Julio Martinez,1987-08-21,CIN
45,Matt Koch,,CIN
46,Zack Jones,1990-12-04,CIN
47,Silvino Bracho,1992-07-17,CIN
48,Casey Golden,,CIN
49,Jake Newberry,1994-11-20,CIN
50,James Hoyt,,CIN
51,Ryan Eades,1991-12-15,CIN
52,Ka'Ai Tom,1994-05-29,CIN
53,Josh D. Smith,,CIN
54,Pat Venditte,1985-06-30,CIN
55,Rosell Herrera,1992-10-16,CIN
56,Zack Brown,1994-12-15,CIN
57,Josh Graham,1993-10-14,CIN
58,Michael Rucker,,CIN
59,Aaron Brown,1992-06-20,CIN
60,Montana DuRapau,1992-03-27,CIN
61,Tim Beckham,1990-01-27,CIN
62,JA Happ,,CIN
63,Jake Lamb,,CIN
64,Blake Allemand,1992-07-01,CIN
65,Miles Gordon,,CIN
66,Rob Brantly,1989-07-14,CIN
67,Thomas Dillard,,CIN
68,Erinson Placencia,,CIN
69,Anfernee Grier,1995-10-13,CIN
70,Randy Rosario,1994-05-18,CIN
71,Jacob Heyward,1995-08-01,CIN
72,Curt Casali,1988-11-09,CIN
73,Joe Biagini,1990-05-29,CIN
74,Paul Sewald,1990-05-26,CIN
75,Matt Hall,,CIN
76,Tom Windle,1992-03-10,CIN
77,Cody Carroll,1992-10-15,CIN
78,Tate Matheny,1994-02-09,CIN
