,name,dob,owner
0,Colin Moran,1992-10-01,CLE
1,Luke Jackson,1991-08-24,CLE
2,Jaime Schultz,1991-06-20,CLE
3,Trent Thornton,1993-09-30,CLE
4,Josh Taylor,1993-03-02,CLE
5,Stone Garrett,1995-11-22,CLE
6,Ryan O'Rourke,1988-04-30,CLE
7,Joey Gallo,1993-11-19,CLE
8,Tony Gonsolin,1994-05-14,CLE
9,Josh James,1993-03-08,CLE
10,Boog Powell,,CLE
11,Trevor Richards,1993-05-15,CLE
12,Mitch Garver,1991-01-15,CLE
13,Austin Wells,,CLE
14,Adam Duvall,1988-09-04,CLE
15,Logan Davidson,,CLE
16,Zack Weiss,1992-06-16,CLE
17,Drew Jackson,1993-07-28,CLE
18,Kevin Cron,1993-02-17,CLE
19,Zack Short,1995-05-29,CLE
20,Jose Abreu,1987-01-29,CLE
21,Anthony Rendon,1990-06-06,CLE
22,Dellin Betances,1988-03-23,CLE
23,German Marquez,1995-02-22,CLE
24,Jordan Weems,1992-11-07,CLE
25,Javy Baez,1992-12-01,CLE
26,Andrew Suarez,1992-09-11,CLE
27,Taylor Rogers,,CLE
28,Dovydas Neverauskas,1993-01-14,CLE
29,Cito Culver,1992-08-26,CLE
30,Kyle Crick,1992-11-30,CLE
31,Wyatt Marks,1995-06-28,CLE
32,Brett Nicholas,,CLE
33,Cory Mazzoni,1989-10-19,CLE
34,Jacob May,,CLE
35,PJ Conlon,1993-11-11,CLE
36,Scott Alexander,1989-07-10,CLE
37,Chuck Taylor,,CLE
38,Dilson Herrera,1994-03-03,CLE
39,Jordan Johnson,1993-09-15,CLE
40,Sonny Gray,1989-11-07,CLE
41,Jake Fraley,1995-05-25,CLE
42,David Goforth,1988-10-11,CLE
43,Travis Shaw,,CLE
44,Ben Gamel,1992-05-17,CLE
45,Ketel Marte,1993-10-12,CLE
46,Alex Colome,1988-12-31,CLE
47,Jon Kemmer,1990-11-17,CLE
48,Endrys Briceno,1992-02-07,CLE
49,Tom Murphy,1991-04-03,CLE
50,Sean Newcomb,1993-06-12,CLE
51,Erik Gonzalez,1991-08-31,CLE
52,Ryan Yarbrough,1991-12-31,CLE
53,Brent Rooker,1994-11-01,CLE
54,Alex Murphy,1994-10-05,CLE
55,Yimi Garcia,1990-08-18,CLE
56,Sam Hilliard,1994-02-21,CLE
57,Timmy Lopes,,CLE
58,Michael Mariot,1988-10-20,CLE
59,Danny Ortiz,1990-01-05,CLE
60,Drew Rucinski,1988-12-30,CLE
61,Noel Cuevas,1991-10-02,CLE
62,Enrique Burgos,,CLE
63,Cristian Santana,,CLE
64,Jose Suarez,1992-09-11,CLE
65,Matt Beaty,1993-04-28,CLE
66,Charcer Burks,1995-03-09,CLE
67,Cody Stashak,1994-06-04,CLE
68,Dany Jimenez,1993-12-23,CLE
69,Jacob DeGrom,1988-06-19,CLE
70,Jared Jones,,CLE
