,name,dob,owner
0,CJ Chatham,1994-12-22,COL
1,Tommy Hunter,1986-07-03,COL
2,Khris Davis,1987-12-21,COL
3,Ryan Borucki,1994-03-31,COL
4,Chase Anderson,1987-11-30,COL
5,Omar Cruz,,COL
6,Joe Gray,,COL
7,Max Schrock,1994-10-12,COL
8,Quinn Brodey,1995-12-01,COL
9,Nick Gordon,1991-11-08,COL
10,Greg Jones,1994-10-17,COL
11,Jordan Luplow,1993-09-26,COL
12,Trey Harris,,COL
13,Jurickson Profar,1993-02-20,COL
14,Austin Listi,1993-11-05,COL
15,Jimmie Sherfy,,COL
16,David Peterson,1995-09-03,COL
17,Corbin Martin,1995-12-28,COL
18,Ben Heller,1991-08-05,COL
19,Breckin Williams,1993-09-05,COL
20,Clint Frazier,1994-09-06,COL
21,Jimmy Lewis,,COL
22,Antonio Senzatela,1995-01-21,COL
23,Billy McKinney,,COL
24,James Marvel,,COL
25,Drew Ellis,1995-12-01,COL
26,Renato Nunez,1994-04-04,COL
27,Brian Mundell,1994-02-28,COL
28,Brett Phillips,1994-05-30,COL
29,Jeff Hoffman,,COL
30,Jake Scheiner,1995-08-13,COL
31,Dustin Fowler,1994-12-29,COL
32,JD Davis,1993-04-27,COL
33,Dakota Hudson,1994-09-15,COL
34,Christin Stewart,1993-12-10,COL
35,Peter Alonso,1994-12-07,COL
36,Eddy Diaz,,COL
37,Kyle Holder,1994-05-25,COL
38,Jake Magnum,,COL
39,Taylor Varnell,1995-05-05,COL
40,Tim Cate,,COL
41,Kevin Smith P (NYM),,COL
42,Andy Ibanez,1993-04-03,COL
43,Adam Hill,,COL
44,Devlin Granberg,1995-09-08,COL
45,Wilson Ramos,1987-08-10,COL
46,Bernardo Flores,1995-08-23,COL
47,Darick Hall,1995-07-25,COL
48,Carl Edwards Jr. (CJ),1991-09-03,COL
49,Devin Williams,,COL
50,Jose Fermin,,COL
51,Matt Shoemaker,,COL
52,Colt Keith,,COL
53,Nick Garcia,,COL
54,Kala’i Rosario,,COL
