,name,dob,owner
0,Jacob Webb,1993-08-15,CWS
1,Raudy Reed,,CWS
2,Glenn Sparkman,1992-05-11,CWS
3,Christopher Torres,,CWS
4,Luis Toribio,,CWS
5,Pedro Gonzalez,,CWS
6,Phil Gosselin,1988-10-03,CWS
7,Gosuke Katoh,1994-10-08,CWS
8,Justin Dunn,1995-09-22,CWS
9,Jake Elmore,1987-06-15,CWS
10,Dane Dunning,1994-12-20,CWS
11,Brent Honeywell,,CWS
12,Ronnie Dawson,1995-05-19,CWS
13,Gerson Bautista,1995-05-31,CWS
14,Wes Parsons,1992-09-06,CWS
15,Ali Sanchez,,CWS
16,Wander Javier,1994-12-13,CWS
17,Travis Demerritte,,CWS
18,Ryan Garcia,,CWS
19,Joseph Odom,,CWS
20,Kevin Kramer,,CWS
21,Arodys Vizcaino,1990-11-13,CWS
22,Luis Carpio,,CWS
23,Jose Herrera,1994-03-03,CWS
24,Jhoulys Chacin,1988-01-07,CWS
25,Oswald Peraza,,CWS
26,Connor Thomas,,CWS
27,Cameron Maybin,1987-04-04,CWS
28,Justin Williams,1995-08-20,CWS
29,Tim Melville,1989-10-09,CWS
30,Michael A Taylor,1991-03-26,CWS
31,Anderson Miller,1994-05-06,CWS
32,Sal Romano,1993-10-12,CWS
33,Sean Reid-Foley,1995-08-30,CWS
34,Hyo-Jun Park,,CWS
35,Antonio Arias,,CWS
36,Mike Freeman,1987-08-04,CWS
37,Gabe Speier,1995-04-12,CWS
38,Ashe Russell,,CWS
39,Jose Iglesias,1990-01-05,CWS
40,Matt Reynolds (3B),,CWS
41,Mauricio Cabrera,1993-09-22,CWS
42,Blake Parker,1985-06-19,CWS
43,Jesse Biddle,1991-10-22,CWS
44,Matt Thaiss,1995-05-06,CWS
45,Cam Gallagher,1992-12-06,CWS
46,Edwar Colina,,CWS
47,JT Chargois,1990-12-03,CWS
48,Taylor Ward,,CWS
49,Ben Bowden,1994-10-21,CWS
50,Josh Wolf,,CWS
51,Ronnier Quintero,,CWS
52,Jose Salas,,CWS
53,Kristian Cardozo,,CWS
54,Christian Arroyo,1995-05-30,CWS
55,Victor Mesa Jr.,,CWS
56,Jose Tena,,CWS
57,Jon Lester,1984-01-07,CWS
58,Carlos Cortes,,CWS
59,Casey Martin,,CWS
60,Daniel Cabrera,,CWS
61,Daxton Fulton,,CWS
62,Alex Santos II,,CWS
