,name,dob,owner
0,Ender Inciarte,1990-10-29,DET
1,Gary Sanchez,,DET
2,Odubel Herrera,1991-12-29,DET
3,Josh Staumont,1993-12-21,DET
4,Joc Pederson,1992-04-21,DET
5,Blake Hunt,1993-08-12,DET
6,Richard Lovelady,1995-07-07,DET
7,Aaron Ashby,,DET
8,Nolan Arenado,1991-04-16,DET
9,Leonardo Rodriguez,,DET
10,Scott Barlow,1992-12-18,DET
11,Will Harris,1984-08-28,DET
12,Leandro Cedeno,,DET
13,Victor Arano,1995-02-07,DET
14,Diego Castillo,1994-01-18,DET
15,Ranger Suarez,1995-08-26,DET
16,Max Muncy,1990-08-25,DET
17,Dan Jansen,1995-04-15,DET
18,Daniel Brito,,DET
19,Edwin Diaz,1994-03-22,DET
20,Curtis Taylor,,DET
21,Austin Meadows,1995-05-03,DET
22,Jonathan Guzman,1995-02-08,DET
23,Jose Alvarado,,DET
24,Sean Manaea,1992-02-01,DET
25,Taylor Bashlor,,DET
26,Clayton Kershaw,1988-03-19,DET
27,Archie Bradley,1992-08-10,DET
28,Paul De Jong,1993-08-02,DET
29,David Dahl,,DET
30,Dustin May,,DET
31,Hansel Robles,1990-08-13,DET
32,William Contreras,,DET
33,Scott Kingery,,DET
34,Jake Reed,1992-09-29,DET
35,Shane Bieber,1995-05-31,DET
36,Aaron Judge,1992-04-26,DET
37,Oscar Mercado,1994-12-16,DET
38,Blake Taylor,,DET
39,Lou Trivino,1991-10-01,DET
40,Joe Jimenez,1995-01-17,DET
41,Luis Patino,,DET
42,Matthew Strahm,1991-11-12,DET
43,Ryan Helsley,1994-07-18,DET
44,Rhys Hoskins,1993-03-17,DET
45,Manny Ramirez,,DET
46,Je’Von Ward,,DET
47,Tyson Miller,1995-07-29,DET
48,Aaron Nola,1993-06-04,DET
49,"Lance McCullers, Jr",,DET
50,Jesus Parra,1991-04-14,DET
51,Cole Henry,,DET
52,Jeferson Quero,,DET
53,Beck Way,,DET
