,name,dob,owner
0,Taylor Guerrieri,1992-12-01,HOU
1,Lane Thomas,1995-08-23,HOU
2,Kyle Zimmer,,HOU
3,Jacob Barnes,1990-04-14,HOU
4,Tyler Pill,1990-05-29,HOU
5,Stephen Tarpley,1993-02-17,HOU
6,Sean Nolin,1989-12-26,HOU
7,Duane Underwood,1994-07-20,HOU
8,Foster Griffin,1995-07-27,HOU
9,Justin Steele,,HOU
10,Johan Mieses,1995-07-13,HOU
11,Andrew Calica,1994-03-05,HOU
12,Yoshitomo Tsutsugo,1991-11-26,HOU
13,Malik Collymore,1995-04-29,HOU
14,Dustin Peterson,1994-09-10,HOU
15,Alec Mills,1991-11-30,HOU
16,Mike Mayers,1991-12-06,HOU
17,Jared Oliva,1995-11-27,HOU
18,Adbert Alzolay,1995-03-01,HOU
19,Michael Ynoa,1991-09-24,HOU
20,Barrett Barnes,1991-07-29,HOU
21,Chris Rowley,1990-08-14,HOU
22,Matt Foster,1995-01-27,HOU
23,Luis Escobar,,HOU
24,Juan Minaya,1990-09-18,HOU
25,Eduardo Lopez,,HOU
26,Justin Smoak,1986-12-05,HOU
27,Jeffrey Springs,1992-09-20,HOU
28,Adam Engel,1991-12-09,HOU
29,Luis Liberato,1995-12-18,HOU
30,Steven Brault,1992-04-29,HOU
31,Ryan McKenna,,HOU
32,Luis Rengifo,,HOU
33,Cal Quantrill,1995-02-10,HOU
34,Bralin Jackson,1993-12-02,HOU
35,Austin Davis,1993-02-03,HOU
36,Jose Siri,1995-07-22,HOU
37,Ryan Casteel,1991-06-06,HOU
38,Sam Gaviglio,1990-05-22,HOU
39,Stetson Allie,1991-03-13,HOU
40,Tomas Nido,1994-04-12,HOU
41,Dominic Ficociello,1992-04-10,HOU
42,Kevan Smith,1988-06-28,HOU
43,Hoby Milner,1991-01-13,HOU
44,Caleb Baragar,1994-04-09,HOU
45,Wuilmer Becerra,1994-10-01,HOU
46,Jake Hager,1993-03-04,HOU
47,Justin Miller,1987-06-13,HOU
48,Nick Torres,1993-06-30,HOU
49,Michael Reed,1992-11-18,HOU
50,Christopher Bec,,HOU
51,Michael Wacha,1991-07-01,HOU
52,Chad Pinder,1992-03-29,HOU
53,Erick Fedde,1993-02-25,HOU
54,Austin Pruitt,1989-08-31,HOU
55,Nick Nelson,1995-12-05,HOU
56,Connor Sadzeck,1991-10-01,HOU
57,Troy Montgomery,1994-08-13,HOU
58,Jacob Nottingham,1995-04-03,HOU
59,Casey Hughston,1994-06-09,HOU
60,Kade Scivicque,1993-03-22,HOU
61,Ryan Clark,1993-12-09,HOU
62,Jack Wynkoop,1993-11-02,HOU
63,Jesmuel Valentin Diaz,,HOU
64,Max Povse,1993-08-23,HOU
65,Jordan Jankowski,1989-05-17,HOU
66,Jake Irvin,,HOU
67,Jason Adam,1991-08-04,HOU
68,Robbie Dickey,1994-04-06,HOU
69,Hunter Wood,1993-08-12,HOU
