,name,dob,owner
0,Adalberto Mondesi,1995-07-27,KC
1,Dillon Tate,1994-05-01,KC
2,Salvador Perez,1990-05-10,KC
3,Aroldis Chapman,1988-02-28,KC
4,Dominic Smith,1995-06-15,KC
5,Raisel Iglesias,1990-01-04,KC
6,Chris Bassitt,1989-02-22,KC
7,Jake Junis,1992-09-16,KC
8,Anthony Bemboom,1990-01-18,KC
9,Brad Keller,,KC
10,Yandy Diaz,1991-08-08,KC
11,Isiah Kiner-Falefa,1995-03-23,KC
12,Nick Solak,1995-01-11,KC
13,Ramon Torres,,KC
14,Shed Long,1995-08-22,KC
15,Michael Conforto,1993-03-01,KC
16,Aristides Aquino,1994-04-22,KC
17,Griffin Roberts,,KC
18,Jorge Mateo,1995-06-23,KC
19,Willie Calhoun,1994-11-04,KC
20,Shawn Morimando,1992-11-20,KC
21,Ryan Pressly,1988-12-15,KC
22,Ricardo Pinto,1994-01-20,KC
23,Reynaldo Lopez,1994-01-04,KC
24,Dietrich Enns,1991-05-16,KC
25,Brett Cumberland,1995-06-25,KC
26,Anthony A Garcia,1992-01-04,KC
27,Alex Reyes,1994-08-29,KC
28,Victor Alcantara,1993-04-03,KC
29,Dinelson Lamet,1992-07-18,KC
30,Ryon Healy,1992-01-10,KC
31,Michael Hermosillo,1995-01-17,KC
32,Victor Robles,,KC
33,Daniel Poncedeleon,1992-01-16,KC
34,Jack Reinheimer,1992-07-19,KC
35,Sean Murphy,1994-10-04,KC
36,Franchy Cordero,1994-09-02,KC
37,Danny Mendick,1993-09-28,KC
38,James Karinchak,1995-09-22,KC
39,Miguel Rojas,1989-02-24,KC
40,Jairo Diaz,,KC
41,Patrick Weigel,1994-07-08,KC
42,Luis Alejandro (AJ) Basabe,,KC
43,Zach Britton,1987-12-22,KC
44,Adrian Hernandez,1993-05-15,KC
45,Adrian De Horta,1995-03-13,KC
46,Marcos Molina,,KC
47,Yulieski Gurriel,1984-06-09,KC
48,Ian Hamilton,1995-06-16,KC
49,Jorge Soler,1992-02-25,KC
50,Yu-Cheng Chang,,KC
51,Carlos Tocci,1995-08-23,KC
52,Raffy Lopez,1987-10-02,KC
53,Andres Machado,,KC
54,Albert Abreu,,KC
55,Joey Lucchesi,1993-06-06,KC
56,Erick Pena,,KC
57,JT Brubaker,1993-11-17,KC
