,name,dob,owner
0,Dillon Peters,,LAA
1,Chad Kuhl,1992-09-10,LAA
2,Scott Oberg,1990-03-13,LAA
3,Hunter Dozier,1991-08-22,LAA
4,Dylan Cozens,1994-05-31,LAA
5,Jonathan Sierra (Estiwal),,LAA
6,Keegan Thompson,1995-03-13,LAA
7,Gregory Polanco,1991-09-14,LAA
8,Franklyn Kilome,1995-06-25,LAA
9,Austin Barnes,,LAA
10,Corey D. Ray,,LAA
11,Austin Riley,,LAA
12,Steven Matz,1991-05-29,LAA
13,Adam Wolf,,LAA
14,Blake Rutherford,,LAA
15,Giancarlo Stanton,1989-11-08,LAA
16,Jalen Beeks,1993-07-10,LAA
17,Socrates Brito,1992-09-06,LAA
18,Jeremy Walker,,LAA
19,Michael Fulmer,,LAA
20,Kirby Yates,1987-03-25,LAA
21,Luis Gonzalez (CWS),,LAA
22,Luis A. Medina,,LAA
23,Emilio Vargas,,LAA
24,Vladimir Gutierrez,1995-09-18,LAA
25,Dauri Lorenzo,,LAA
26,Jefry Ramos,,LAA
27,Franklin E. Perez,,LAA
28,Thomas Hatch,1994-09-29,LAA
29,Anthony Kay,1995-03-21,LAA
30,Adael Amador,,LAA
31,Brock Deatherage,1995-09-12,LAA
32,Buddy Reed,,LAA
33,DJ Peters,1991-12-31,LAA
34,Vince Fernandez,1995-07-25,LAA
35,Jake Rogers,1995-04-18,LAA
36,Owen Miller,,LAA
37,James Mccann,,LAA
38,Gregory Soto,1995-02-11,LAA
39,Ismael Mena,,LAA
40,Tanner Roark,1986-10-05,LAA
41,Charlie Blackmon,1986-07-01,LAA
42,Robert Dugger,1995-07-03,LAA
43,Adam Kolarek,1989-01-14,LAA
44,Bryan Garcia,,LAA
45,Nelson Velasquez,,LAA
46,Reggie Lawson,,LAA
47,Marcus Walden,,LAA
48,Alex Wood,,LAA
49,Yadiel Hernandez,1987-10-09,LAA
50,Jimmy Lambert,1994-11-18,LAA
51,Franmil Reyes,1995-07-07,LAA
52,Clayton Andrews,,LAA
53,Cody Freeman,,LAA
54,Matt Brash,,LAA
55,Jiter Heredia,,LAA
56,Adrian Placencia,,LAA
57,Malfrin Sosa,,LAA
58,Enoli Paredes,1995-09-28,LAA
59,Roberto Campos,,LAA
60,Seth Brown,,LAA
61,Luis Medina,1987-10-01,LAA
62,Ronald Guzman,1994-10-20,LAA
63,Isaiah Greene,,LAA
64,Dakota Mekkes,1994-11-06,LAA
65,Tommy Kahnle,1989-08-07,LAA
66,Jake Vogel,,LAA
