,name,dob,owner
0,Robert Stephenson,1993-02-24,LAD
1,Steven Duggar,1993-11-04,LAD
2,Jace Fry,1993-07-09,LAD
3,Jorge Polanco,1993-07-05,LAD
4,Andrew Toles,1992-05-24,LAD
5,Carson Kelly,,LAD
6,Jose Rondon,,LAD
7,Travis Jankowski,1991-06-15,LAD
8,Jesse Winker,1993-08-17,LAD
9,Hunter Harvey,,LAD
10,Ildemaro Vargas,1991-07-16,LAD
11,Joe Musgrove,1992-12-04,LAD
12,Daulton Jefferies,1995-08-02,LAD
13,Cody Sedlock,1995-06-19,LAD
14,Francisco Mejia,,LAD
15,Lourdes Gurriel,1993-10-10,LAD
16,Elieser Hernandez,1995-05-03,LAD
17,Wilmer Font,1990-05-24,LAD
18,Luke Voit,1991-02-13,LAD
19,Blake Snell,1992-12-04,LAD
20,Jonathan Rodriguez,1989-08-21,LAD
21,Raimel Tapia,1994-02-04,LAD
22,Enrique Hernandez,1991-08-24,LAD
23,Francisco Rios,1995-05-06,LAD
24,Calten Daal,1993-08-01,LAD
25,Phillip Diehl,1994-07-16,LAD
26,Yu Darvish,1986-08-16,LAD
27,Dee Strange-Gordon,1988-04-22,LAD
28,Donnie Hart,1990-09-06,LAD
29,Carlos M. Vargas,,LAD
30,Drew Rom,,LAD
31,Kevin Ginkel,1994-03-24,LAD
32,Yonny Chirinos,1993-12-26,LAD
33,Ryan Buchter,1987-02-13,LAD
34,Zach Plesac,1995-01-21,LAD
35,Thyago Vieira,1993-07-01,LAD
36,Yeinier Cano,,LAD
37,Matt Festa,1993-03-11,LAD
38,Blake Bivens,1995-08-11,LAD
39,Chris Lee,1990-08-22,LAD
40,Orlando Arcia,1994-08-04,LAD
41,Ty Buttrey,1993-03-31,LAD
42,Luke Weaver,1993-08-21,LAD
43,Amir Garrett,1992-05-03,LAD
44,Brian Howard,,LAD
45,Adam Morgan,,LAD
46,Eugenio Suarez,1991-07-18,LAD
47,Eric Lauer,1995-06-03,LAD
48,Rogelio Armenteros,1994-06-30,LAD
49,Bruce Zimmerman,,LAD
50,Hunter Renfroe,1992-01-28,LAD
51,Luis Oviedo,,LAD
52,Pedro Baez,,LAD
53,Austin Wynns,1990-12-10,LAD
54,Angel Rondon,,LAD
55,James Paxton,1988-11-06,LAD
56,Garrett Williams,1994-09-15,LAD
57,Tanner Scott,1992-12-25,LAD
