,name,dob,owner
0,Gabriel Moya,1995-01-09,MIA
1,Manuel Margot,1994-09-28,MIA
2,Skye Bolt,1994-01-15,MIA
3,Kolten Wong,1990-10-10,MIA
4,Michael Pineda,1989-01-18,MIA
5,Matthew Allan,,MIA
6,Chris McMahon,,MIA
7,Ariel Hernandez,,MIA
8,Frankie Montas,1993-03-21,MIA
9,Grayson Greiner,1992-10-11,MIA
10,Nick Ramirez,,MIA
11,Kurt Suzuki,1983-10-04,MIA
12,Ryne Nelson,,MIA
13,Dylan Floro,1990-12-27,MIA
14,Noah Perio,1991-11-14,MIA
15,Jeff Criswell,,MIA
16,Trey Amburgey,1994-10-24,MIA
17,Kyle Farmer,1990-08-17,MIA
18,Drew Verhagen,1990-10-22,MIA
19,Kyle Schwarber,1993-03-05,MIA
20,Will Smith,1989-07-10,MIA
21,Thomas Eshelman,1994-06-20,MIA
22,Aaron Northcraft,1990-05-28,MIA
23,Kyle Gibson,,MIA
24,Derek Law,1990-09-14,MIA
25,Marwin Gonzalez,1989-03-14,MIA
26,James Kaprielian,1994-03-02,MIA
27,Brock Stewart,1991-10-03,MIA
28,Sam Wolff,1991-04-14,MIA
29,Luke Farrell,1991-06-07,MIA
30,Aledmys Diaz,1990-08-01,MIA
31,Cole Irvin,1994-01-31,MIA
32,Eric Thames,1986-11-10,MIA
33,Dereck Rodriguez,1992-06-05,MIA
34,Sam Moll,1992-01-03,MIA
35,Justin Garza,,MIA
36,David Olmedo Barrera,1994-06-22,MIA
37,Chase Johnson Mullins,1994-07-19,MIA
38,Victor Payano,1992-10-17,MIA
39,Evan Skoug,1995-10-21,MIA
40,Randall Delgado,1990-02-09,MIA
41,Bryce Johnson,1995-10-27,MIA
42,Ian Clarkin,1995-02-14,MIA
43,Cam Gibson,,MIA
44,Eric Cole,,MIA
45,Nick Dunn,,MIA
46,Joseph Ortiz,,MIA
