,name,dob,owner
0,Will Wilson,1987-08-10,MIL
1,Rico Garcia,1994-01-10,MIL
2,DJ Wilson,,MIL
3,DJ LeMahieu,1988-07-13,MIL
4,Burch Smith,1990-04-12,MIL
5,Lane Ratliff,1995-03-22,MIL
6,Evan Steele,,MIL
7,Gerrit Cole,1990-09-08,MIL
8,Steve Wilkerson,,MIL
9,Mike Tauchman,1990-12-03,MIL
10,Jose Osuna,,MIL
11,Abiatal Avelino,1995-02-14,MIL
12,Ryan Meisinger,1994-05-04,MIL
13,Jake McGee,1986-08-06,MIL
14,Jimmy Cordero,1991-10-19,MIL
15,Jake K Thompson,1994-01-31,MIL
16,Eli White,,MIL
17,Gavin Lavalley,1994-12-28,MIL
18,Patrick Murphy,1995-06-10,MIL
19,Manny Machado,1992-07-06,MIL
20,Enyel De Los Santos,1995-12-25,MIL
21,Daniel Gibson,,MIL
22,Austin Slater,1992-12-13,MIL
23,Austin Romine,1988-11-22,MIL
24,Eddy Julio Martinez,1995-01-18,MIL
25,Trevor Rosenthal,1990-05-29,MIL
26,Jordan Stephens,1992-09-12,MIL
27,Bobby Wahl,1992-03-21,MIL
28,Trevor Stephan,1995-11-25,MIL
29,Garrett Hampson,1994-10-10,MIL
30,Chad Spanberger,1995-11-01,MIL
31,Alberto Triunfel,1994-02-01,MIL
32,Kyle Freeland,1993-05-14,MIL
33,Rougned Odor,,MIL
34,Adrian Houser,1993-02-02,MIL
35,Sam Abbott,,MIL
36,Daniel Stumpf,1991-01-04,MIL
37,Cam Bedrosian,1991-10-02,MIL
38,Kevin Plawecki,1991-02-26,MIL
39,Max Kepler,1993-02-10,MIL
40,JP Crawford,1995-01-11,MIL
41,Trevor Hildenberger,1990-12-15,MIL
42,Tim Mayza,1992-01-15,MIL
43,Franyel Baez,,MIL
44,Orlando Calixte,1992-02-03,MIL
45,Harrison Bader,1994-06-03,MIL
46,Adrian Sampson,1991-10-07,MIL
47,Ramon Urias,1994-06-03,MIL
48,JC Ramirez,1988-08-16,MIL
49,Jared Walsh,1993-07-30,MIL
50,Anibal Sierra,1994-02-15,MIL
51,Yeison Santana,,MIL
52,Carlos Soto,,MIL
53,Miguel A. Diaz,,MIL
54,Brian Serven,1995-05-05,MIL
55,Luis Palacios,,MIL
56,Alex Jackson,1995-12-25,MIL
57,Kevin Comer,1992-08-01,MIL
58,Kent Emanuel,1992-06-04,MIL
59,Alfredo Escalera-Maldonado,1995-02-17,MIL
60,Drew Smyly,1989-06-13,MIL
61,Daniel Wright,,MIL
62,Tommy Eveld,1993-12-30,MIL
63,Ryan McBroom,,MIL
64,Andrew Heaney,1991-06-05,MIL
65,Tony Watson,1985-05-30,MIL
66,Riley Mahan,1995-12-31,MIL
67,Garrett Richards,1988-05-27,MIL
68,Aaron Sanchez,1992-07-01,MIL
69,Kyle Finnegan,,MIL
