,name,dob,owner
0,AJ Puk,1995-04-25,MIN
1,Jeff Brigham,1992-02-16,MIN
2,Byron Buxton,1993-12-18,MIN
3,Andry Lara,,MIN
4,Jose Berrios,1994-05-27,MIN
5,Noah Syndergaard,1992-08-29,MIN
6,Zack Collins,1995-02-06,MIN
7,Jose Trevino,,MIN
8,Evan White,,MIN
9,Robert Dominguez,,MIN
10,Kris Bryant,1992-01-04,MIN
11,Danny Diaz,,MIN
12,Chad Sobotka,1993-07-10,MIN
13,Zack Wheeler,1990-05-30,MIN
14,Trevor May,1989-09-23,MIN
15,Brandon Marsh,,MIN
16,Yeudy Garcia,1992-10-06,MIN
17,Starlyn Castillo,1990-03-24,MIN
18,Andrew Benintendi,1994-07-06,MIN
19,Estiven Machado,,MIN
20,Francisco Alvarez,1994-07-14,MIN
21,Jose Rodriguez,1993-04-07,MIN
22,Stephen Villines,1995-07-15,MIN
23,Francisco Lindor,1993-11-14,MIN
24,Zach Warren,1985-08-12,MIN
25,Nicky Lopez,1995-03-13,MIN
26,Breyvic Valera,1992-01-08,MIN
27,Dom Nunez,,MIN
28,Ivan Herrera,,MIN
29,Wyatt Mills,,MIN
30,Fernando Romero,,MIN
31,Corey Knebel,1991-11-26,MIN
32,Cody Bellinger,1995-07-13,MIN
33,Melvin Jimenez,,MIN
34,Alec Hansen,1994-10-10,MIN
35,Brad Wieck,1991-10-14,MIN
36,Tanner Rainey,,MIN
37,Brett Hanewich,1994-12-15,MIN
38,Joe Palumbo,1994-10-26,MIN
39,Ryan Boldt,1994-11-22,MIN
40,Bobby Bradley,,MIN
41,Jon Duplantier,1994-07-11,MIN
42,Efrain Contreras,1987-02-06,MIN
43,Lewis Brinson,1994-05-08,MIN
44,Drew Steckenrider,1991-01-10,MIN
45,Luis J. Garcia,,MIN
46,Reyes Moronta,1993-01-06,MIN
47,Alfonso Rivas,,MIN
48,Joel Kuhnel,1995-02-19,MIN
49,Jonathan Loaisiga,,MIN
50,Seranthony Dominguez,1994-11-25,MIN
51,Marcus Smith,,MIN
52,Sam Delaplane,1995-03-27,MIN
53,Brayan Altuve,,MIN
54,Chris Murphy,1992-09-28,MIN
