,name,dob,owner
0,Tyler Ramirez,1995-02-21,NYM
1,Nick Gonzales,,NYM
2,Sandy Alcantara,1995-09-07,NYM
3,Travis d'Arnaud,1989-02-10,NYM
4,Jonathan Villar,1991-05-02,NYM
5,Mark Mathias,1994-08-02,NYM
6,Brian Anderson,,NYM
7,Ty France,1994-07-13,NYM
8,Corban Joseph,1988-10-28,NYM
9,Domingo Acevedo,1994-03-06,NYM
10,Dario Agrazal,1994-12-28,NYM
11,Korey Lee,1994-09-11,NYM
12,Zach Mcallister,,NYM
13,Randal Grichuk,1991-08-13,NYM
14,Kyle Garlick,1992-01-26,NYM
15,Tony Renda,1991-01-24,NYM
16,Nomar Mazara,1995-04-26,NYM
17,Taylor Jones,,NYM
18,Cole Freeman,1994-09-27,NYM
19,Rymer Liriano,1991-06-20,NYM
20,Alan Busenitz,1990-08-22,NYM
21,Willians Astudillo,1991-10-14,NYM
22,Wil Myers,1990-12-10,NYM
23,Sam Coonrod,1992-09-22,NYM
24,Alex Dickerson,,NYM
25,Shane Green,,NYM
26,Shaun Anderson,1994-10-29,NYM
27,Giovanny Gallegos,1991-08-14,NYM
28,Daniel Zamora,1993-04-15,NYM
29,Erasmo Ramirez,,NYM
30,Brad Peacock,1988-02-02,NYM
31,Nick Dini,1993-07-27,NYM
32,Rowdy Tellez,1995-03-16,NYM
33,Trevor Cahill,1988-03-01,NYM
34,Nick Martini,1990-06-27,NYM
35,Brock Dykxhoorn,1994-07-02,NYM
36,Matt Mcbride,1985-05-23,NYM
37,Kelvin Gutierrez,1994-08-28,NYM
38,Zac Grotz,1993-02-17,NYM
39,Shun Yamaguchi,1987-07-11,NYM
40,Brian O'Grady,1992-05-17,NYM
41,Ryan Horstman,1992-07-20,NYM
42,Jay Jackson,,NYM
43,Reed Garrett,1993-01-02,NYM
44,Remey Reed,1995-05-05,NYM
45,Anyelo Gomez,1993-03-01,NYM
46,Julian Fernandez,,NYM
47,Pedro Aruajo,,NYM
48,Nick Heath,1993-11-27,NYM
49,Brooks Kriske,1994-02-03,NYM
50,JP Feyereisen,1993-02-07,NYM
51,Darin Ruff,,NYM
52,Marco Gonzales,1992-02-16,NYM
