,name,dob,owner
0,Noe Ramirez,1989-12-22,NYY
1,Josh Rojas,1994-06-30,NYY
2,Ian Happ,1994-08-12,NYY
3,Pat Valaika,1992-09-09,NYY
4,Brandon Bailey,,NYY
5,Ronnie Williams,,NYY
6,Masahiro Tanaka,,NYY
7,Jacob Stallings,1989-12-22,NYY
8,Patrick Wisdom,1991-08-27,NYY
9,Erik Swanson,1993-09-04,NYY
10,Yusei Kikuchi,1991-06-17,NYY
11,Miguel Andujar,1995-03-02,NYY
12,Geoff Hartlieb,1993-12-09,NYY
13,Sam Selman,1990-11-14,NYY
14,Zach Jackson,1994-12-25,NYY
15,Ryan McMahon,,NYY
16,Brooks Raley,1988-06-29,NYY
17,Garrett Cooper,1990-12-25,NYY
18,Harold Ramirez,,NYY
19,Avisail Garcia,1991-06-12,NYY
20,Willy Adames,1995-09-02,NYY
21,Brent Suter,1989-08-29,NYY
22,Dan Altavilla,1992-09-08,NYY
23,Andrew Velazquez,1994-07-14,NYY
24,Austin Brice,,NYY
25,John Schreiber,1994-03-05,NYY
26,Terrance Gore,,NYY
27,Colton Laws,1995-11-20,NYY
28,Taylor Gushue,1993-12-19,NYY
29,Kyle Hendricks,,NYY
30,Nate Eovaldi,1990-02-13,NYY
31,Myles Straw,1994-10-17,NYY
32,Colin McHugh,1987-06-19,NYY
33,Jose Mesa,,NYY
34,Christian Walker,1991-03-28,NYY
35,Eliezer Alvarez,1994-10-15,NYY
36,Reggie McClain,1992-11-16,NYY
37,Zach Thompson,1993-10-23,NYY
38,Zack Erwin,1994-01-24,NYY
39,Randy Dobnak,1995-01-17,NYY
40,Braden Webb,1995-04-25,NYY
41,Kyle Funkhouser,1994-03-16,NYY
42,Ashton Goudeau,1992-07-23,NYY
