,name,dob,owner
0,Tyler Nevin,,OAK
1,Taylor Widener,1994-10-24,OAK
2,Ivan Johnson,,OAK
3,Logan Shore,1994-12-28,OAK
4,Wei-Chung Wang,1992-04-25,OAK
5,Kevin Gadea,1994-12-06,OAK
6,Taylor Guilbeau,1993-05-12,OAK
7,Teoscar Hernandez,1992-10-15,OAK
8,Nathan Kirby,1993-11-23,OAK
9,Estarlin Beltre,,OAK
10,Tyler Glasnow,1993-08-23,OAK
11,Arol Vera,,OAK
12,Juan Querectuo,,OAK
13,Stephen Vogt,1984-11-01,OAK
14,Devin Smeltzer,1995-09-07,OAK
15,Tyler Jay,1994-04-19,OAK
16,Robert Puason,,OAK
17,Colin Rea,1990-07-01,OAK
18,Adam Conley,1990-05-24,OAK
19,Alex Lange,,OAK
20,Yohander Mendez,1995-01-17,OAK
21,Alex Faedo,1995-11-12,OAK
22,Zach Shepherd,1995-09-14,OAK
23,Jorge Guzman,,OAK
24,Taijuan Walker,1992-08-13,OAK
25,Abraham Toro-Hernandez,,OAK
26,Trevor McDonald,,OAK
27,Monte Harrison,1995-08-10,OAK
28,Vic Caratini,1993-08-17,OAK
29,Berny Encarnacion,,OAK
30,Luis Cessa,1992-04-25,OAK
31,Domingo Leyba,1995-09-11,OAK
32,Yerdeluis Vargas,,OAK
33,Tim Anderson,,OAK
34,Jose Altuve,,OAK
35,James Norwood,1993-12-24,OAK
36,Adam Eaton,,OAK
37,Derek Hill,1995-12-30,OAK
38,Daniel Johnson,1995-07-11,OAK
39,Kyle Wilcox,1994-06-14,OAK
40,Forest Wall,,OAK
41,Keegan McGovern,1995-09-13,OAK
42,Edward Olivares,,OAK
43,Jacob Wallace,,OAK
44,Marcos Gonzalez,,OAK
45,Bailey Ober,1995-07-12,OAK
46,Reginald Preciado,,OAK
47,Jordan Walker,,OAK
48,Gage Tater Workman,,OAK
49,Markevian Tink Hence,,OAK
