,name,dob,owner
0,Yan Gomes,1987-07-19,PHI
1,Yonathan Daza,1994-02-28,PHI
2,Yolmer Sanchez,1992-06-29,PHI
3,Tyler Duffey,,PHI
4,Nick Ahmed,1990-03-15,PHI
5,Jeremy Jeffress,1987-09-21,PHI
6,Phil Ervin,1992-07-15,PHI
7,Jose Pujols,1980-01-16,PHI
8,Casey Sadler,1990-07-13,PHI
9,Sterling Sharp,1995-05-30,PHI
10,Anthony Santander,1994-10-19,PHI
11,Zach Reks,1993-11-12,PHI
12,Kevin Newman,1993-08-04,PHI
13,Carlos Martinez,1991-09-21,PHI
14,Sam Travis,,PHI
15,Joe Ross,1993-05-21,PHI
16,Branden Pinder,1989-01-26,PHI
17,Joe Dunand,1995-09-20,PHI
18,Mike Shawaryn,1994-09-17,PHI
19,Will Craig,1994-11-16,PHI
20,Eddie Rosario,1991-09-28,PHI
21,Mychal Givens,1990-05-13,PHI
22,Victor Reyes,,PHI
23,Tucker Barnhart,1991-01-07,PHI
24,Joe Wendle,1990-04-26,PHI
25,Justin Wilson,1987-08-18,PHI
26,Nick Longhi,1995-08-16,PHI
27,Anthony Bass,,PHI
28,Daniel Gossett,1992-11-13,PHI
29,Marcus Stroman,1991-05-01,PHI
30,Trevor Bauer,,PHI
31,Ryan Braun,,PHI
32,Donn Roach,1989-12-14,PHI
33,Gabriel Guerrero,,PHI
34,Dylan Davis,,PHI
35,Jake Cave,1992-12-04,PHI
36,Sebastian Elizalde,1991-11-20,PHI
37,Taylor Hill,,PHI
38,Alex Call,1994-09-27,PHI
39,Luis Heredia,,PHI
40,Trey Michalczewski,1995-02-27,PHI
41,Tim Locastro,1992-07-14,PHI
42,Matt Davidson,,PHI
43,Matt Andriese,1989-08-28,PHI
44,Jason Delay,1995-03-07,PHI
45,Paul Fry,,PHI
46,Greg Garcia,1989-08-08,PHI
47,Tony Dibrell,1995-11-08,PHI
48,Nick Hanson,,PHI
49,Griffin Jax,1994-11-22,PHI
50,Sam Perez,,PHI
51,Trey Riley,,PHI
52,Will Holland,,PHI
53,Michael Massey,,PHI
