,name,dob,owner
0,Greg Mahle,1993-04-17,PIT
1,Brian Johnson,1990-12-07,PIT
2,Joe McCarthy,,PIT
3,Maikel Franco,1992-08-26,PIT
4,Anthony Desclafani,1990-04-18,PIT
5,Bruce Rondon,1990-12-09,PIT
6,Kennys Vargas,1990-08-01,PIT
7,Kendall Graveman,1990-12-21,PIT
8,Justin Haley,1991-06-16,PIT
9,David Bote,1993-04-07,PIT
10,Lucas Erceg,1995-05-01,PIT
11,Jean Segura,1990-03-17,PIT
12,Steven Moya,1991-08-09,PIT
13,Hanser Alberto,1992-10-17,PIT
14,Sandy Baez,1993-11-25,PIT
15,Jose Alvarez,1989-05-06,PIT
16,Carlos Soler,1992-02-25,PIT
17,Jason Martin,1995-09-05,PIT
18,"Dwight Smith, Jr",,PIT
19,Dairon Blanco,1993-04-26,PIT
20,Scott Hurst,,PIT
21,Jorge Alcala,1995-07-28,PIT
22,Bobby Dalbec,1995-06-29,PIT
23,Adam Brett Walker,1991-10-18,PIT
24,Robbie Ray,1991-10-01,PIT
25,Yency Almonte,1994-06-04,PIT
26,Nick Pivetta,1993-02-14,PIT
27,Andrew Gagnon,1990-06-26,PIT
28,Phil Bickford,1995-07-10,PIT
29,Manuel Banuelos,1991-03-13,PIT
30,Pierce Johnson,1991-05-10,PIT
31,Chris Bostick,1993-03-24,PIT
32,Malique Zeigler,,PIT
33,Andres Torres,,PIT
34,Jonathan Singleton,1991-09-18,PIT
35,Mallex Smith,1993-05-06,PIT
36,Jefry Marte,1991-06-21,PIT
37,Adalberto Mejia,1993-06-20,PIT
38,Michael Feliz,,PIT
39,Alen Hanson,1992-10-22,PIT
40,Justin Anderson,,PIT
41,Carlos Salazar,,PIT
42,Keynan Middleton,1993-09-12,PIT
43,Juan Soto,,PIT
44,Brandon Woodruff,1993-02-10,PIT
45,Trey Mancini,1992-03-18,PIT
46,Steven Wright,,PIT
47,Henry Owens,,PIT
48,Matt Olson,1994-03-29,PIT
49,Allen Webster,1990-02-10,PIT
50,Zach Davies,,PIT
51,Oswaldo Arcia,1991-05-09,PIT
52,Colten Brewer,1992-10-29,PIT
53,Gift Ngoepe,1990-01-18,PIT
54,Tzu-Wei Lin,1994-02-15,PIT
55,Brian Ellington,1990-08-04,PIT
56,Willi Castro,,PIT
57,Josh Tobias,1992-11-23,PIT
58,Giovanny Urshela,1991-10-11,PIT
59,Rowan Wick,1992-11-09,PIT
60,Travis Lakins,1994-06-29,PIT
61,Mitch Haniger,1990-12-23,PIT
62,Ibandel Isabel,1995-06-20,PIT
63,Jose Leclerc,1993-12-19,PIT
64,Jared Hoying,1989-05-18,PIT
65,Parker Dunshee,1995-02-12,PIT
66,Reese Mcguire,1995-03-02,PIT
67,Bo Way,,PIT
68,Kyle Lewis,,PIT
69,Roemon Fields,1990-11-28,PIT
70,Vincent Velasquez,1992-06-07,PIT
71,Derek Fisher,,PIT
72,Corey Black,,PIT
73,Roberto Baldoquin,1994-05-14,PIT
74,Yoan Lopez,,PIT
75,Juan Ramirez,1988-08-16,PIT
76,Jose Soriano,,PIT
77,Christopher Cruz,,PIT
78,Tres Barrera,1994-09-15,PIT
79,Jose Rojas,1993-02-24,PIT
80,Cameron Hill,1994-05-24,PIT
81,Yohan Ramirez,1995-05-06,PIT
82,Patrick Bailey,,PIT
83,Justin Lange,,PIT
84,Ben Hernandez,,PIT
