,name,dob,owner
0,Mookie Betts,1992-10-07,SD
1,Justin Verlander,1983-02-20,SD
2,Miguel Sano,1993-05-11,SD
3,Dallas Keuchel,1988-01-01,SD
4,Jedd Gyorko,1988-09-23,SD
5,Esteban Quiroz,1992-02-17,SD
6,Mark Canha,1989-02-15,SD
7,Michael Lorenzen,1992-01-04,SD
8,Matt Boyd,1991-02-02,SD
9,Daniel Norris,1993-04-25,SD
10,Kenny Giles,,SD
11,Carlos Rodon,1992-12-10,SD
12,Whit Merrifield,1989-01-24,SD
13,Corey Seager,1994-04-27,SD
14,Dylan Bundy,1992-11-15,SD
15,Jose Peraza,1994-04-30,SD
16,Zach Eflin,1994-04-08,SD
17,Jon Gray,1991-11-05,SD
18,Josh Lindblom,1987-06-15,SD
19,Kyle Ryan,,SD
20,Daniel Bard,1985-06-25,SD
21,Blake Swihart,1992-04-03,SD
22,Steven Souza,1989-04-24,SD
23,Jose Martinez,1988-07-25,SD
24,Brandon Nimmo,1993-03-27,SD
25,Caleb Smith,1991-07-28,SD
26,Chance Sisco,1995-02-24,SD
27,Brandon Finnegan,1993-04-14,SD
28,Nick Williams,1993-09-08,SD
29,Miles Mikolas,1988-08-23,SD
30,Taylor Williams,1991-07-21,SD
31,Tommy Edman,1995-05-09,SD
32,Dylan Moore,1992-08-02,SD
33,JB Wendelken,1993-03-24,SD
34,Connor Joe,,SD
35,Blake Tiberi,1995-02-16,SD
36,Jesus Cruz,1995-04-15,SD
37,Cy Sneed,1992-10-01,SD
38,Brett Kennedy,,SD
39,Cody Reed (Alabama),,SD
40,Kyle Lloyd,1990-10-16,SD
41,Casey Kelly,,SD
42,Danny Hultzen,1989-11-28,SD
43,Phillip Evans,,SD
44,Samuel Tuivailala,1992-10-19,SD
45,Parker Markel,1990-09-15,SD
46,Cole Sulser,1990-03-12,SD
47,Mason McCoy,1995-03-31,SD
48,Peter Tago,1992-07-05,SD
49,Rafael Dolis,1988-01-10,SD
50,Jimmy Yacabonis,1992-03-21,SD
51,Joely Rodriguez,1991-11-14,SD
52,David Lebron,,SD
53,Justin Lawrence,,SD
54,Jose Caballero,,SD
55,Nick Zammarelli,1994-07-30,SD
56,Bryce Bush,,SD
57,Evan Phillips,1994-09-11,SD
58,Jameson Fisher,1993-12-18,SD
59,Taylor Grover,1991-04-22,SD
60,Ray-Patrick Didder,,SD
61,Josh Morgan,,SD
62,Zach Pop,,SD
63,Riley Unroe,1995-08-03,SD
64,Brian Moran,1988-09-30,SD
65,Mark Appel,1991-07-15,SD
66,Anthony Banda,1993-08-10,SD
67,Seth Mejias-Brean,1991-04-05,SD
68,Mikey White,1993-09-03,SD
69,Garrett Stubbs,1993-05-26,SD
70,Kaito Yuki,,SD
71,Melissa Mayeux,,SD
72,Keury Mella,1993-08-02,SD
73,Anthony Misiewicz,1994-11-01,SD
74,Austin Hays,1995-07-05,SD
75,Tyler O'Neill,1995-06-22,SD
76,Trey Ball,1994-06-27,SD
77,Joey Krehbiel,1992-12-20,SD
78,Michael Baumann,1995-09-10,SD
79,Brian Gonzalez,1995-10-25,SD
80,Austin Cox,,SD
81,Cesar Valdez,,SD
82,Yujo Kitagata,1994-01-25,SD
83,Jeremy Pena,,SD
