,name,dob,owner
0,Kenley Jansen,1987-09-30,SEA
1,Carlos Santana,1986-04-08,SEA
2,Michael Perez,,SEA
3,Anfernee Seymour,1995-06-24,SEA
4,Daniel Mengden,1993-02-19,SEA
5,Bubba Starling,1992-08-03,SEA
6,Andrew Miller,1985-05-21,SEA
7,Zack Greinke,1983-10-21,SEA
8,Didi Gregorious,1990-02-18,SEA
9,Heath Hembree,1989-01-13,SEA
10,Rio Ruiz,1994-05-22,SEA
11,Adam Cimber,1990-08-15,SEA
12,AJ Pollock,1987-12-05,SEA
13,Nick Ciuffo,1995-03-07,SEA
14,Domingo Santana,1992-08-05,SEA
15,Jonah Heim,1995-06-27,SEA
16,Alex Young,1993-09-09,SEA
17,Pedro Severino,1993-07-20,SEA
18,Cody Ponce,1994-04-25,SEA
19,Lake Bachar,1995-06-03,SEA
20,Malquin Canelo,1994-09-05,SEA
21,Scott Moss,1994-10-06,SEA
22,Kevin Pillar,1989-01-04,SEA
23,Adam Plutko,1991-10-03,SEA
24,Taylor Clarke,1993-05-13,SEA
25,Richie Shaffer,1991-03-15,SEA
26,Adam Frazier,1991-12-14,SEA
27,Joe Perez,,SEA
28,Scott Schebler,1990-10-06,SEA
29,Chance Adams,1994-08-10,SEA
30,Zack Godley,1990-04-21,SEA
31,Robert Gsellman,,SEA
32,Mitch Longo,1995-01-12,SEA
33,Joe Gatto,,SEA
34,Roman Quinn,1993-05-14,SEA
35,Roberto Perez,,SEA
36,Cody Reed (Mississippi),,SEA
37,Chih-Wei Hu,1993-11-04,SEA
38,Tyler Gilbert,1993-12-22,SEA
39,Connor Jones,1994-10-10,SEA
40,Bradley Zimmer,1992-11-27,SEA
41,Will Benson,,SEA
42,Willie Abreu,1995-03-21,SEA
43,Brigham Hill,1995-07-08,SEA
44,Matt Frazier,,SEA
45,Stephen Piscotty,1991-01-14,SEA
46,Shohei Ohtani,1994-07-05,SEA
47,Rob Kaminsky,1994-09-02,SEA
48,Michael Clevinger,1990-12-21,SEA
