,name,dob,owner
0,Chandler Shepherd,1992-08-25,STL
1,Logan Warmoth,1995-09-06,STL
2,Clay Holmes,1993-03-27,STL
3,Jake Jewell,,STL
4,Jonathan Lucroy,1986-06-13,STL
5,Ben Taylor,,STL
6,Jacob Waguespack,1993-11-05,STL
7,Jake Peter,1993-04-05,STL
8,Joe Harvey,,STL
9,David Fletcher,,STL
10,Ehire Adrianza,1989-08-21,STL
11,Luke Maile,1991-02-06,STL
12,Ty Blach,1990-10-20,STL
13,Ray Black,,STL
14,Hector Velazquez,,STL
15,Tony Kemp,1991-10-31,STL
16,David McKay,,STL
17,David Price,,STL
18,Paul Blackburn,1993-12-04,STL
19,Greg Deichman,1995-05-31,STL
20,Martin Perez,,STL
21,Andrew Vaughn,,STL
22,Spencer Turnbull,1992-09-18,STL
23,Luis Perdomo,,STL
24,Tyler Beede,1993-05-23,STL
25,Jaycob Brugman,1992-01-18,STL
26,Josh VanMeter,,STL
27,Riley Ferrell,1993-10-18,STL
28,Brandon Koch,,STL
29,Shane Baz,,STL
30,Braden Bishop,1993-08-22,STL
31,Tyler Freeman,,STL
32,Jeff McNeil,1992-04-08,STL
33,Gabriel Ynoa,1993-05-26,STL
34,Dillon Maples,1992-05-09,STL
35,David Paulino,,STL
36,Jordan Guerrero,1994-05-31,STL
37,Daniel Coulombe,1989-10-26,STL
38,Jake Bauers,1995-10-06,STL
39,Buck Farmer,,STL
40,Oliver Drake,1987-01-13,STL
41,Wilmer Difo,1992-04-02,STL
42,Ryan Weber,1990-08-12,STL
43,Omar Narvaez,1992-02-10,STL
44,Jacoby Jones,1992-05-10,STL
45,Jake N Thompson,1994-09-22,STL
46,Melvin Adon,1994-06-09,STL
47,Wil Crowe,,STL
48,Ronald Torreyes,1992-09-02,STL
49,Ernesto Martinez Jr,,STL
50,Lucas Sims,1994-05-10,STL
51,Tyler Wade,1994-11-23,STL
52,Jake Cosart,1994-02-11,STL
53,Tom Szapucki,,STL
54,Alejandro Chacin,1993-06-24,STL
55,Ryan Merritt,1992-02-21,STL
56,Reid Humphreys,1994-11-21,STL
57,Juan Guerrero,,STL
58,Brady Feigl,1990-12-27,STL
59,Grant Ford,,STL
60,Mikie Mahtook,1989-11-30,STL
61,Jaylin Davis,1994-07-01,STL
62,George Feliz,,STL
63,Ronny Polanco,,STL
64,Kevin Made,,STL
65,Jeimer Candelario,1993-11-24,STL
66,Zach Green,1994-03-07,STL
67,Thomas Pannone,1994-04-28,STL
68,Alex Cobb,1987-10-07,STL
69,Wandy Peralta,1991-07-27,STL
70,Junior Tillen,,STL
71,Juan Chacon,,STL
72,Tyler Zuber,1995-06-16,STL
73,Enger Castellano,,STL
74,Zac Veen,,STL
