,name,dob,owner
0,Dylan Cease,1995-12-28,TB
1,Chris Sale,1989-03-30,TB
2,Freddie Freeman,1989-09-12,TB
3,Tayron Guerrero,1991-01-09,TB
4,Michel Triana,,TB
5,Howie Kendrick,1983-07-12,TB
6,Braden Shipley,1992-02-22,TB
7,Austin Nola,1989-12-28,TB
8,Amed Rosario,1995-11-20,TB
9,Hunter Strickland,1988-09-24,TB
10,Jesus Tinoco,1995-04-30,TB
11,Jeurys Familia,1989-10-10,TB
12,Starling Marte,1988-10-09,TB
13,Andrew Chafin,1990-06-17,TB
14,Christian Yelich,1991-12-05,TB
15,Mike Moustakas,1988-09-11,TB
16,Kyle Nelson,,TB
17,Yasmani Grandal,1988-11-08,TB
18,Zac Gallen,1995-08-03,TB
19,Blake Treinen,1988-06-30,TB
20,Aramis Garcia,1993-01-12,TB
21,Bobby Poyner,1992-12-01,TB
22,Donnie Walton,1994-05-25,TB
23,Chad Green,,TB
24,Seth Lugo,1989-11-17,TB
25,Nick Wittgren,1991-05-29,TB
26,Tyler White,1990-10-29,TB
27,Phil Maton,1993-03-25,TB
28,Brad Boxberger,1988-05-27,TB
29,Steve Cishek,1986-06-18,TB
30,Kaleb Cowart,1992-06-02,TB
31,Lucas Giolito,1994-07-14,TB
32,Addison Russell,1994-01-23,TB
33,Thomas Hackimer,1994-06-28,TB
34,Sam Haggerty,1994-05-26,TB
35,Connor Justus,1994-11-02,TB
36,Conner Menez,1995-05-29,TB
37,Tyler Rogers,,TB
38,A.J. Minter,1993-09-02,TB
39,Matt Skole,1989-07-30,TB
40,Austin Allen,1988-11-22,TB
41,Anthony Alford,1994-07-20,TB
42,Hyun Jin Ryu,1987-03-25,TB
43,Parker French,1993-03-19,TB
44,Andersen Tejeda,,TB
45,Ross Stripling,1989-11-23,TB
46,Jacob Gatewood,1995-09-25,TB
47,Logan Webb,,TB
48,James Beard,,TB
49,Matt Chapman,,TB
