,name,dob,owner
0,Trevor Story,1992-11-15,TEX
1,Mike Ford,,TEX
2,Cody Thomas,,TEX
3,Jonathan Holder,1993-06-09,TEX
4,Ramon Laureano,1994-07-15,TEX
5,Lance Lynn,1987-05-12,TEX
6,Michael Busch,,TEX
7,Manny Pina,1987-06-05,TEX
8,Ryan Williams,1991-11-01,TEX
9,Lincoln Henzman,1995-07-04,TEX
10,Wander Suero,1991-09-15,TEX
11,Framber Valdez,1993-11-19,TEX
12,Jacob Hannemann,1991-04-29,TEX
13,Cesar Puello,1991-04-01,TEX
14,Luis Severino,,TEX
15,Mike Matuella,1994-06-03,TEX
16,Frank Schwindel,1992-06-29,TEX
17,Chris Martin,1986-06-02,TEX
18,John Brebbia,1990-05-30,TEX
19,Charlie Barnes,,TEX
20,Zack Burdi,1995-03-09,TEX
21,Sheldon Neuse,1994-12-10,TEX
22,Stephen Wrenn,,TEX
23,Juan Pie,,TEX
24,Eduardo Rodriguez,1993-04-07,TEX
25,Nate Smith,,TEX
26,Eduardo Garcia,,TEX
27,Pete Fairbanks,1993-12-16,TEX
28,Walker Buehler,1994-07-28,TEX
29,Ronald Acuna,,TEX
30,Zach Vincej,1991-05-01,TEX
31,Vimael Machin,1993-09-25,TEX
32,Drew Rasmussen,1995-07-27,TEX
33,Jacob Lindgren,1993-03-12,TEX
34,Christopher Acosta,,TEX
35,Aaron Hernandez,,TEX
36,Gerardo Reyes,1993-05-13,TEX
37,Steven Okert,1991-07-09,TEX
38,Greg Allen,,TEX
39,Jose A. Ramirez,,TEX
40,Tyler Mahle,1994-09-29,TEX
41,Kyle Seager,1987-11-03,TEX
42,Brett Martin,,TEX
43,Josh H. Smith,,TEX
44,Will D. Smith,,TEX
45,Brandon Brennan,1991-07-26,TEX
46,Brandon Leibrandt,1992-12-13,TEX
47,Trea Turner,1993-06-30,TEX
48,Austin Adams,1986-08-19,TEX
49,Pablo Reyes,,TEX
50,Tyler Matzek,1990-10-19,TEX
51,Anthony Rizzo,1989-08-08,TEX
52,Josh Palacios,1995-07-30,TEX
53,Sean Brady,1994-06-09,TEX
54,Richard Rodriguez,,TEX
55,Michael King,1995-05-25,TEX
56,Jason Hursh,1991-10-02,TEX
57,Hector Neris,1989-06-14,TEX
58,Chasen Shreve,1990-07-12,TEX
59,Reymond Fuentes,1991-02-12,TEX
60,Arismendy Alcantara,1991-10-29,TEX
61,Wes Benjamin,,TEX
62,Brad Hand,,TEX
63,Alexander Palma,1995-10-18,TEX
64,Jake Cronenworth,1994-01-21,TEX
65,Nick Howard,,TEX
66,Donnie Dewees,1993-09-29,TEX
67,Andrew Morales,,TEX
68,Alexis Diaz,,TEX
69,Cory Abbott,1995-09-20,TEX
70,Cole Uvila,1994-01-30,TEX
71,Riley O'Brien,,TEX
