,name,dob,owner
0,Lenny Torres,,TOR
1,Jameson Taillon,1991-11-18,TOR
2,Jimmy Nelson,,TOR
3,Brendan McKay,1995-12-18,TOR
4,Carlos Estevez,,TOR
5,DJ Stewart,1993-11-30,TOR
6,Matt Magill,1989-11-10,TOR
7,Nick Goody,1991-07-06,TOR
8,Brett Gardner,1983-08-24,TOR
9,Nick Decker,,TOR
10,Luke Bard,1990-11-13,TOR
11,Justin Shafer,1992-09-18,TOR
12,Nick Castellanos,1992-03-04,TOR
13,Andrew Knapp,1991-11-09,TOR
14,Elvin Rodriguez,,TOR
15,Maurice Hampton Jr.,,TOR
16,Albert Almora,1994-04-16,TOR
17,Kyle Wright,1995-10-02,TOR
18,Elias Diaz,,TOR
19,Miguel Angel Sierra,,TOR
20,Brandon Drury,1992-08-21,TOR
21,Jandel Gustave,1992-10-12,TOR
22,Miguel Castro,,TOR
23,Kris Negron,1986-02-01,TOR
24,Daniel Hudson,,TOR
25,Asher Wojciechowski,1988-12-21,TOR
26,David Peralta,1987-08-14,TOR
27,Ronny Rodriguez,,TOR
28,Sam Howard,,TOR
29,Luis Ortiz,1995-09-22,TOR
30,DJ Burt,1995-10-13,TOR
31,Misael Lopez,,TOR
32,Ryan Cordell,,TOR
33,Tommy La Stella,1989-01-31,TOR
34,Hector A Perez,,TOR
35,Jordan Montgomery,,TOR
36,Paul Goldschmidt,1987-09-10,TOR
37,Brandon Kintzler,1984-08-01,TOR
38,Stephen Alemais,1995-04-12,TOR
39,Brett Adcock,1995-08-28,TOR
40,Dom Thompson-Williams,1995-04-21,TOR
41,Evan Marshall,1990-04-18,TOR
42,Kyle McGowin,1991-11-27,TOR
43,Brandon Dixon,1992-01-29,TOR
44,Frank German,,TOR
45,Aaron Slegers,1992-09-04,TOR
46,Kacy Clemens,1994-07-27,TOR
47,Freddy Galvis,1989-11-14,TOR
48,Tony Locey,,TOR
