,name,dob,owner
0,Shumpei Yoshikawa,1995-01-24,WAS
1,Wade Miley,1986-11-13,WAS
2,Tyrone Taylor,1994-01-22,WAS
3,Craig Kimbrel,1988-05-28,WAS
4,Scott Heineman,1992-12-04,WAS
5,Maximo Acosta,,WAS
6,Eric Yardley,1990-08-18,WAS
7,Carlos Arroyo,1993-06-28,WAS
8,Brian Goodwin,,WAS
9,Grant Dayton,1987-11-25,WAS
10,Michael Gettys,1995-10-22,WAS
11,Humberto Mejia,,WAS
12,Branden Kline,1991-09-29,WAS
13,Delino Deshields,,WAS
14,Kevin Kiemeier,,WAS
15,James R Nelson,,WAS
16,Nick Wells,,WAS
17,Elvis Andrus,1988-08-26,WAS
18,Angel Perdomo,1994-05-07,WAS
19,Robert Stock,,WAS
20,Jake Marisnick,1991-03-30,WAS
21,Mike Gerber,1992-07-08,WAS
22,Shawn Dubin,1995-09-06,WAS
23,Bryan Hudson,,WAS
24,Alfredo Rodriguez,1990-05-26,WAS
25,TJ Friedl,1995-08-14,WAS
26,Jose Quijada,1995-11-09,WAS
27,Ryan O'Hearn,,WAS
28,Richi Gonzalez,,WAS
29,Wendell Rijo,1995-09-04,WAS
30,Evan Longoria,1985-10-07,WAS
31,Thomas Milone,1995-01-26,WAS
32,Santiago Espinal,1994-11-13,WAS
33,Lewis Thorpe,1995-11-23,WAS
34,Charles Leblanc,,WAS
35,David Bednar,,WAS
36,Jefry Rodriguez,1993-07-26,WAS
37,Anthony Gose,1990-08-10,WAS
38,Drew Robinson,1992-04-20,WAS
39,AJ Cole,,WAS
40,Roberto Osuna,,WAS
41,Tony Wolters,1992-06-09,WAS
42,Danny Santana,1990-11-07,WAS
43,Shawn Armstrong,1990-09-11,WAS
44,Dawel Lugo,1994-12-31,WAS
45,Matt Grace,1988-12-14,WAS
46,Luis V. Garcia,,WAS
47,John King,,WAS
48,Jarlin Garcia,1993-01-18,WAS
49,Tyler Anderson,1989-12-30,WAS
50,Josh Green,1995-08-31,WAS
51,Austin Voth,1992-06-26,WAS
52,Michael Santos,1995-05-29,WAS
53,Brian Miller,,WAS
54,Conner Greene,1995-04-04,WAS
55,Richard Bleier,1987-04-16,WAS
56,Drew Hutchinson,1990-08-22,WAS
57,Daniel Castano,1994-09-17,WAS
58,Brad Zunica,1995-10-21,WAS
59,Ryan Thompson,1992-06-26,WAS
60,Jan Hernandez,1995-01-03,WAS
61,Jonathan Davis,1993-04-27,WAS
